SampleID,Source,A name,B name,F1,N1,S/N 1,F2,N2,S/N 2,sample num,A type,B type,RealData [yes=1]
train24,ARTIFCE,A,B,log,postmult,0.25,NA,NA,NA,755,Categorical,Categorical,0
train25,RELATED,A,B,sqrt,preadd,0.5,line,postmult,0.5,2389,Numerical,Numerical,0
train26,ARTIFCE,A,B,sine,postmult,2,NA,NA,NA,4146,Binary,Numerical,0
train27,ARTIFCE,A,B,sqrt,postmult,1,NA,NA,NA,2156,Numerical,Numerical,0
train28,INDEP,A,B,NA,NA,NA,NA,NA,NA,6403,Binary,Numerical,0
train29,ARTIFCE,A,B,parabola,postadd,0.25,NA,NA,NA,2784,Numerical,Numerical,0
train30,RLTDREAL,SUN4-YNL066W-16 SUN4,YAP6-YDR259C-16 YAP6,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train31,RELATED,A,B,cubic,preadd,2,exp,preadd,0.5,1436,Categorical,Numerical,0
train32,YEAST,ARG81-YML099C-16 ARG81,ARG8-YOL140W-16 ARG8,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train33,ARTIFCE,A,B,rbf,postadd,1,NA,NA,NA,2546,Numerical,Numerical,0
train34,RELATED,A,B,parabola,preadd,0.5,cubic,preadd,0.5,3823,Numerical,Numerical,0
train35,INDEP,A,B,NA,NA,NA,NA,NA,NA,6323,Numerical,Numerical,0
train36,INDEP,A,B,NA,NA,NA,NA,NA,NA,737,Numerical,Numerical,0
train37,LEMON,SubModel,MMRCurrentRetailAveragePrice,NA,NA,NA,NA,NA,NA,669,Categorical,Numerical,1
train38,RELATED,A,B,log,preadd,0.5,tanh,postmult,0.5,5432,Categorical,Categorical,0
train39,RELATED,A,B,line,postadd,1,parabola,preadd,0.5,1782,Numerical,Numerical,0
train40,ARTIFCE,A,B,exp,preadd,2,NA,NA,NA,4461,Categorical,Numerical,0
train41,RELATED,A,B,sine,postmult,2,sine,preadd,0.25,1250,Numerical,Numerical,0
train42,INDEP,A,B,NA,NA,NA,NA,NA,NA,1681,Numerical,Numerical,0
train43,ARTIFCE,A,B,rbf,postadd,0.5,NA,NA,NA,1762,Numerical,Numerical,0
train44,ARTIFCE,A,B,exp,postmult,2,NA,NA,NA,3062,Numerical,Numerical,0
train45,RELATED,A,B,log,preadd,0.25,sqrt,premult,1,5075,Numerical,Numerical,0
train46,INDEP,A,B,NA,NA,NA,NA,NA,NA,2545,Numerical,Numerical,0
train47,INDEP,A,B,NA,NA,NA,NA,NA,NA,3371,Numerical,Numerical,0
train48,ARTIFCE,A,B,hyperbola,postadd,2,NA,NA,NA,1180,Numerical,Numerical,0
train49,ARTIFCE,A,B,cubic,postmult,1,NA,NA,NA,6194,Numerical,Binary,0
train50,RELATED,A,B,sine,postadd,0.5,tanh,premult,2,1379,Binary,Numerical,0
train51,INDEP,A,B,NA,NA,NA,NA,NA,NA,5736,Numerical,Binary,0
train52,ARTIFCE,A,B,atanh,premult,2,NA,NA,NA,2009,Categorical,Numerical,0
train53,YEAST,RNR3-YIL066C-16 RNR3,RFX1-YLR176C-16 RFX1,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train54,ARTIFCE,A,B,hyperbola,premult,2,NA,NA,NA,2697,Categorical,Numerical,0
train55,RELATED,A,B,rbf,preadd,2,tanh,postmult,1,2597,Categorical,Numerical,0
train56,INDEP,A,B,NA,NA,NA,NA,NA,NA,1517,Numerical,Categorical,0
train57,ARTIFCE,A,B,sine,postmult,0.5,NA,NA,NA,542,Binary,Numerical,0
train58,ECOLI,crp-b3357-15 crp,paaJ-b1397-15 paaJ,NA,NA,NA,NA,NA,NA,907,Numerical,Numerical,1
train59,INDEP,A,B,NA,NA,NA,NA,NA,NA,6087,Numerical,Binary,0
train60,INDEP,A,B,NA,NA,NA,NA,NA,NA,833,Binary,Numerical,0
train61,RELATED,A,B,rbf,postadd,0.5,exp,preadd,1,1204,Categorical,Numerical,0
train62,INDEP,A,B,NA,NA,NA,NA,NA,NA,6692,Categorical,Numerical,0
train63,INDEP,A,B,NA,NA,NA,NA,NA,NA,4581,Categorical,Numerical,0
train64,ARTIFCE,A,B,cubic,premult,0.5,NA,NA,NA,7018,Numerical,Categorical,0
train65,ARTIFCE,A,B,log,premult,0.5,NA,NA,NA,1911,Binary,Numerical,0
train66,INDEP,A,B,NA,NA,NA,NA,NA,NA,568,Categorical,Numerical,0
train67,ARTIFCE,A,B,sine,preadd,0.5,NA,NA,NA,5621,Categorical,Numerical,0
train68,YEAST,ASN1-YPR145W-16 ASN1,GLN3-YER040W-16 GLN3,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train69,ARTIFCE,A,B,sine,premult,1,NA,NA,NA,1075,Numerical,Binary,0
train70,RELATED,A,B,atanh,postmult,2,line,postadd,1,1132,Numerical,Numerical,0
train71,IDPTREAL,Water level,Chemical component 1,NA,NA,NA,NA,NA,NA,338,Categorical,Numerical,1
train72,ARTIFCE,A,B,rbf,postadd,1,NA,NA,NA,2779,Numerical,Numerical,0
train73,INDEP,A,B,NA,NA,NA,NA,NA,NA,1625,Numerical,Numerical,0
train74,INDEP,A,B,NA,NA,NA,NA,NA,NA,1308,Numerical,Numerical,0
train75,INDEP,A,B,NA,NA,NA,NA,NA,NA,766,Categorical,Numerical,0
train76,ARTIFCE,A,B,atanh,postadd,1,NA,NA,NA,2032,Numerical,Numerical,0
train77,INDEP,A,B,NA,NA,NA,NA,NA,NA,2733,Numerical,Numerical,0
train78,IDPTREAL,ihfB-b0912-15 ihfB,yiaM-b3577-15 yiaM,NA,NA,NA,NA,NA,NA,536,Numerical,Numerical,1
train79,ARTIFCE,A,B,exp,postmult,2,NA,NA,NA,2984,Numerical,Numerical,0
train80,CLAIM,Model-Year,Blind-Model,NA,NA,NA,NA,NA,NA,3173,Numerical,Categorical,1
train81,ARTIFCE,A,B,atanh,postmult,0.25,NA,NA,NA,4268,Numerical,Categorical,0
train82,RELATED,A,B,tanh,preadd,1,sine,premult,1,2412,Numerical,Numerical,0
train83,YEAST,SUN4-YNL066W-16 SUN4,YAP6-YDR259C-16 YAP6,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train84,INDEP,A,B,NA,NA,NA,NA,NA,NA,2541,Binary,Categorical,0
train85,IDPTREAL,gltL-b0652-14 gltL,flhC-b1891-15 flhC,NA,NA,NA,NA,NA,NA,544,Numerical,Numerical,1
train86,RELATED,A,B,cubic,postmult,0.5,sine,postmult,2,4800,Binary,Numerical,0
train87,IDPTREAL,Horsepower,MPG,NA,NA,NA,NA,NA,NA,392,Numerical,Numerical,1
train88,RELATED,A,B,log,postadd,0.5,exp,preadd,1,536,Numerical,Numerical,0
train89,ARTIFCE,A,B,cubic,postmult,0.5,NA,NA,NA,685,Categorical,Numerical,0
train90,RELATED,A,B,cubic,preadd,0.5,atanh,preadd,0.5,720,Numerical,Numerical,0
train91,RELATED,A,B,atanh,preadd,0.25,exp,premult,1,5350,Categorical,Numerical,0
train92,INDEP,A,B,NA,NA,NA,NA,NA,NA,7596,Numerical,Numerical,0
train93,ARTIFCE,A,B,tanh,postmult,1,NA,NA,NA,2563,Numerical,Numerical,0
train94,INDEP,A,B,NA,NA,NA,NA,NA,NA,1907,Numerical,Numerical,0
train95,RELATED,A,B,tanh,preadd,0.25,log,postmult,0.5,3218,Numerical,Numerical,0
train96,ARTIFCE,A,B,sqrt,premult,2,NA,NA,NA,1724,Categorical,Numerical,0
train97,ARTIFCE,A,B,log,premult,1,NA,NA,NA,1211,Numerical,Binary,0
train98,ARTIFCE,A,B,line,preadd,2,NA,NA,NA,2514,Binary,Categorical,0
train99,INDEP,A,B,NA,NA,NA,NA,NA,NA,6110,Numerical,Binary,0
train100,IDPTREAL,make,price,NA,NA,NA,NA,NA,NA,201,Categorical,Numerical,1
train101,IDPTREAL,parch,sibsp,NA,NA,NA,NA,NA,NA,1045,Numerical,Numerical,1
train102,RELATED,A,B,parabola,preadd,0.25,exp,postmult,1,1630,Binary,Numerical,0
train103,ARTIFCE,A,B,sqrt,preadd,1,NA,NA,NA,700,Numerical,Numerical,0
train104,RELATED,A,B,line,premult,0.5,tanh,preadd,1,1641,Categorical,Numerical,0
train105,RELATED,A,B,hyperbola,preadd,0.5,sqrt,preadd,0.25,5933,Categorical,Binary,0
train106,RELATED,A,B,line,premult,0.25,cubic,premult,0.25,1589,Numerical,Numerical,0
train107,RELATED,A,B,tanh,premult,1,exp,preadd,0.25,2052,Numerical,Numerical,0
train108,INDEP,A,B,NA,NA,NA,NA,NA,NA,1886,Categorical,Numerical,0
train109,ARTIFCE,A,B,exp,postadd,0.25,NA,NA,NA,608,Binary,Numerical,0
train110,INDEP,A,B,NA,NA,NA,NA,NA,NA,1602,Numerical,Numerical,0
train111,ARTIFCE,A,B,atanh,premult,0.25,NA,NA,NA,2742,Numerical,Numerical,0
train112,ARTIFCE,A,B,parabola,premult,0.25,NA,NA,NA,3451,Numerical,Numerical,0
train113,ARTIFCE,A,B,rbf,preadd,0.5,NA,NA,NA,7282,Numerical,Numerical,0
train114,INDEP,A,B,NA,NA,NA,NA,NA,NA,1752,Numerical,Numerical,0
train115,RLTDREAL,fnlwgt,race,NA,NA,NA,NA,NA,NA,4600,Numerical,Categorical,1
train116,INDEP,A,B,NA,NA,NA,NA,NA,NA,3971,Categorical,Numerical,0
train117,RELATED,A,B,atanh,postmult,0.25,cubic,postmult,0.5,2299,Categorical,Numerical,0
train118,ARTIFCE,A,B,hyperbola,postadd,0.25,NA,NA,NA,743,Numerical,Numerical,0
train119,INDEP,A,B,NA,NA,NA,NA,NA,NA,2010,Numerical,Numerical,0
train120,ARTIFCE,A,B,cubic,postadd,2,NA,NA,NA,4214,Numerical,Numerical,0
train121,RELATED,A,B,hyperbola,premult,0.5,sqrt,preadd,0.25,1767,Binary,Numerical,0
train122,RELATED,A,B,exp,postmult,1,parabola,preadd,0.25,4223,Numerical,Numerical,0
train123,ARTIFCE,A,B,rbf,premult,2,NA,NA,NA,1646,Numerical,Numerical,0
train124,ARTIFCE,A,B,cubic,preadd,0.25,NA,NA,NA,2345,Categorical,Numerical,0
train125,ARTIFCE,A,B,cubic,postadd,0.25,NA,NA,NA,4965,Numerical,Numerical,0
train126,RELATED,A,B,hyperbola,postadd,0.25,exp,preadd,2,3556,Numerical,Numerical,0
train127,INDEP,A,B,NA,NA,NA,NA,NA,NA,4345,Binary,Numerical,0
train128,INDEP,A,B,NA,NA,NA,NA,NA,NA,708,Numerical,Numerical,0
train129,ARTIFCE,A,B,exp,preadd,0.5,NA,NA,NA,3703,Numerical,Categorical,0
train130,ARTIFCE,A,B,sine,postmult,0.5,NA,NA,NA,4320,Categorical,Numerical,0
train131,RELATED,A,B,log,preadd,0.25,exp,preadd,0.25,6666,Binary,Numerical,0
train132,ARTIFCE,A,B,parabola,postmult,1,NA,NA,NA,666,Numerical,Categorical,0
train133,RELATED,A,B,tanh,postmult,0.25,rbf,preadd,0.5,798,Categorical,Numerical,0
train134,ARTIFCE,A,B,tanh,postmult,2,NA,NA,NA,2265,Numerical,Numerical,0
train135,INDEP,A,B,NA,NA,NA,NA,NA,NA,1024,Numerical,Numerical,0
train136,ARTIFCE,A,B,cubic,preadd,1,NA,NA,NA,5387,Numerical,Numerical,0
train137,ARTIFCE,A,B,sine,postmult,0.25,NA,NA,NA,510,Binary,Numerical,0
train138,RELATED,A,B,exp,postadd,0.5,cubic,postadd,0.5,1013,Binary,Numerical,0
train139,ARTIFCE,A,B,tanh,premult,0.25,NA,NA,NA,1266,Numerical,Numerical,0
train140,RELATED,A,B,log,premult,2,rbf,premult,0.5,1582,Numerical,Numerical,0
train141,SYLVA,Horizontal-Distance-To-Fire-Points,Slope,NA,NA,NA,NA,NA,NA,787,Numerical,Numerical,1
train142,ARTIFCE,A,B,rbf,postadd,0.5,NA,NA,NA,849,Categorical,Numerical,0
train143,INDEP,A,B,NA,NA,NA,NA,NA,NA,6641,Numerical,Numerical,0
train144,INDEP,A,B,NA,NA,NA,NA,NA,NA,1489,Numerical,Numerical,0
train145,ARTIFCE,A,B,rbf,postmult,2,NA,NA,NA,1691,Numerical,Numerical,0
train146,INDEP,A,B,NA,NA,NA,NA,NA,NA,2928,Numerical,Numerical,0
train147,RELATED,A,B,atanh,preadd,0.5,tanh,premult,1,937,Numerical,Binary,0
train148,IDPTREAL,Age (years),Triceps skin fold thickness (mm),NA,NA,NA,NA,NA,NA,768,Numerical,Numerical,1
train149,ARTIFCE,A,B,hyperbola,postmult,2,NA,NA,NA,6407,Numerical,Binary,0
train150,ARTIFCE,A,B,exp,postadd,1,NA,NA,NA,2142,Numerical,Numerical,0
train151,ARTIFCE,A,B,tanh,postmult,0.5,NA,NA,NA,742,Numerical,Numerical,0
train152,YEAST,TGS1-YPL157W-16 TGS1,SWI5-YDR146C-16 SWI5,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train153,ARTIFCE,A,B,exp,postmult,2,NA,NA,NA,1370,Numerical,Numerical,0
train154,ARTIFCE,A,B,line,preadd,1,NA,NA,NA,7780,Numerical,Binary,0
train155,INDEP,A,B,NA,NA,NA,NA,NA,NA,7257,Numerical,Numerical,0
train156,ARTIFCE,A,B,rbf,postadd,1,NA,NA,NA,793,Categorical,Categorical,0
train157,RELATED,A,B,parabola,preadd,1,sqrt,premult,1,1018,Categorical,Numerical,0
train158,INDEP,A,B,NA,NA,NA,NA,NA,NA,659,Numerical,Numerical,0
train159,ADA,age,education,NA,NA,NA,NA,NA,NA,7418,Numerical,Categorical,1
train160,IMPORTS2,compression-ratio,peak-rpm,NA,NA,NA,NA,NA,NA,203,Numerical,Numerical,1
train161,ARTIFCE,A,B,parabola,postadd,1,NA,NA,NA,7782,Categorical,Categorical,0
train162,ARTIFCE,A,B,atanh,postadd,0.25,NA,NA,NA,916,Numerical,Numerical,0
train163,ARTIFCE,A,B,sqrt,postmult,2,NA,NA,NA,740,Numerical,Numerical,0
train164,ARTIFCE,A,B,exp,postadd,0.5,NA,NA,NA,5769,Numerical,Numerical,0
train165,INDEP,A,B,NA,NA,NA,NA,NA,NA,900,Numerical,Numerical,0
train166,ARTIFCE,A,B,cubic,premult,0.5,NA,NA,NA,4791,Binary,Numerical,0
train167,ARTIFCE,A,B,tanh,postadd,1,NA,NA,NA,2991,Categorical,Categorical,0
train168,ARTIFCE,A,B,log,preadd,1,NA,NA,NA,1985,Numerical,Binary,0
train169,ARTIFCE,A,B,line,postmult,0.25,NA,NA,NA,2144,Numerical,Numerical,0
train170,ARTIFCE,A,B,atanh,postadd,0.25,NA,NA,NA,994,Numerical,Numerical,0
train171,IMPORTS1,price,city-mpg,NA,NA,NA,NA,NA,NA,201,Numerical,Numerical,1
train172,INDEP,A,B,NA,NA,NA,NA,NA,NA,962,Numerical,Numerical,0
train173,INDEP,A,B,NA,NA,NA,NA,NA,NA,3809,Numerical,Numerical,0
train174,INDEP,A,B,NA,NA,NA,NA,NA,NA,716,Numerical,Numerical,0
train175,CLAIM,Var3,Claim-Amount,NA,NA,NA,NA,NA,NA,751,Numerical,Numerical,1
train176,ARTIFCE,A,B,line,postmult,1,NA,NA,NA,781,Numerical,Numerical,0
train177,INDEP,A,B,NA,NA,NA,NA,NA,NA,1979,Numerical,Binary,0
train178,INDEP,A,B,NA,NA,NA,NA,NA,NA,1097,Numerical,Numerical,0
train179,ARTIFCE,A,B,sqrt,preadd,0.5,NA,NA,NA,5677,Binary,Binary,0
train180,RELATED,A,B,line,postmult,0.5,rbf,postmult,0.5,7729,Numerical,Numerical,0
train181,ARTIFCE,A,B,atanh,postadd,0.5,NA,NA,NA,2506,Numerical,Numerical,0
train182,ARTIFCE,A,B,line,postmult,2,NA,NA,NA,529,Numerical,Numerical,0
train183,SITKA,treat,size,NA,NA,NA,NA,NA,NA,632,Binary,Numerical,1
train184,INDEP,A,B,NA,NA,NA,NA,NA,NA,838,Numerical,Numerical,0
train185,RELATED,A,B,sqrt,postmult,2,hyperbola,postmult,2,6457,Numerical,Numerical,0
train186,INDEP,A,B,NA,NA,NA,NA,NA,NA,1085,Numerical,Numerical,0
train187,ARTIFCE,A,B,log,preadd,1,NA,NA,NA,2441,Binary,Numerical,0
train188,RELATED,A,B,cubic,postadd,0.25,sine,postmult,2,5943,Numerical,Binary,0
train189,ARTIFCE,A,B,cubic,postadd,1,NA,NA,NA,3248,Binary,Numerical,0
train190,ARTIFCE,A,B,line,postadd,2,NA,NA,NA,2831,Numerical,Numerical,0
train191,ARTIFCE,A,B,sine,preadd,0.25,NA,NA,NA,646,Numerical,Numerical,0
train192,IDPTREAL,YNL194C-16 YNL194C,AFT2-YPL202C-16 AFT2,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train193,INDEP,A,B,NA,NA,NA,NA,NA,NA,1099,Categorical,Numerical,0
train194,IDPTREAL,SWI5-YDR146C-16 SWI5,PIR3-YKL163W-16 PIR3,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train195,RELATED,A,B,tanh,premult,0.25,atanh,premult,0.5,1928,Numerical,Numerical,0
train196,ARTIFCE,A,B,line,preadd,0.5,NA,NA,NA,2694,Numerical,Categorical,0
train197,IDPTREAL,MIC17-YMR002W-16 MIC17,MCM1-YMR043W-16 MCM1,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train198,ARTIFCE,A,B,rbf,preadd,2,NA,NA,NA,918,Numerical,Numerical,0
train199,RELATED,A,B,parabola,postadd,0.25,parabola,postmult,2,803,Categorical,Numerical,0
train200,INDEP,A,B,NA,NA,NA,NA,NA,NA,6482,Binary,Categorical,0
train201,ARTIFCE,A,B,sine,postmult,0.5,NA,NA,NA,4443,Binary,Binary,0
train202,ARTIFCE,A,B,sine,postadd,1,NA,NA,NA,7222,Numerical,Numerical,0
train203,RELATED,A,B,atanh,postadd,2,cubic,premult,0.5,4145,Numerical,Numerical,0
train204,ARTIFCE,A,B,exp,premult,1,NA,NA,NA,753,Numerical,Numerical,0
train205,IMPORTS2,peak-rpm,bore,NA,NA,NA,NA,NA,NA,199,Numerical,Numerical,1
train206,ARTIFCE,A,B,log,preadd,0.5,NA,NA,NA,3306,Numerical,Binary,0
train207,INDEP,A,B,NA,NA,NA,NA,NA,NA,541,Numerical,Numerical,0
train208,INDEP,A,B,NA,NA,NA,NA,NA,NA,1829,Numerical,Binary,0
train209,RELATED,A,B,sine,postadd,0.5,line,postadd,0.5,4861,Binary,Numerical,0
train210,RELATED,A,B,rbf,preadd,2,atanh,postmult,1,1023,Categorical,Categorical,0
train211,ARTIFCE,A,B,rbf,preadd,1,NA,NA,NA,2941,Numerical,Numerical,0
train212,INDEP,A,B,NA,NA,NA,NA,NA,NA,1698,Numerical,Numerical,0
train213,INDEP,A,B,NA,NA,NA,NA,NA,NA,1077,Numerical,Binary,0
train214,RELATED,A,B,sine,postmult,1,hyperbola,premult,0.25,1831,Categorical,Binary,0
train215,ARTIFCE,A,B,atanh,preadd,2,NA,NA,NA,4755,Binary,Numerical,0
train216,ARTIFCE,A,B,sine,postadd,2,NA,NA,NA,1804,Binary,Numerical,0
train217,RELATED,A,B,rbf,premult,1,cubic,postmult,1,3361,Categorical,Binary,0
train218,INDEP,A,B,NA,NA,NA,NA,NA,NA,7829,Numerical,Numerical,0
train219,SYLVA,Soil,Aspect,NA,NA,NA,NA,NA,NA,1580,Categorical,Numerical,1
train220,RELATED,A,B,tanh,postadd,0.5,hyperbola,postadd,0.25,4480,Numerical,Numerical,0
train221,ARTIFCE,A,B,log,postmult,0.25,NA,NA,NA,632,Binary,Numerical,0
train222,ARTIFCE,A,B,log,preadd,0.25,NA,NA,NA,2428,Categorical,Numerical,0
train223,ARTIFCE,A,B,parabola,postadd,0.25,NA,NA,NA,1077,Binary,Numerical,0
train224,RELATED,A,B,rbf,postadd,2,line,postmult,1,1663,Numerical,Numerical,0
train225,ARTIFCE,A,B,tanh,premult,0.25,NA,NA,NA,1202,Numerical,Numerical,0
train226,ARTIFCE,A,B,hyperbola,postmult,0.5,NA,NA,NA,6063,Numerical,Numerical,0
train227,RLTDREAL,FRQ1-YDR373W-16 FRQ1,CST6-YIL036W-16 CST6,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train228,RELATED,A,B,log,postadd,0.25,line,premult,0.5,5060,Numerical,Binary,0
train229,ARTIFCE,A,B,parabola,premult,1,NA,NA,NA,5456,Numerical,Categorical,0
train230,IDPTREAL,horsepower,price,NA,NA,NA,NA,NA,NA,199,Numerical,Numerical,1
train231,YEAST,SUM1-YDR310C-16 SUM1,SAS5-YOR213C-16 SAS5,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train232,RELATED,A,B,sqrt,premult,1,tanh,preadd,2,4155,Numerical,Numerical,0
train233,ARTIFCE,A,B,line,postadd,2,NA,NA,NA,2013,Numerical,Categorical,0
train234,INDEP,A,B,NA,NA,NA,NA,NA,NA,613,Numerical,Numerical,0
train235,YEAST,DAL80-YKR034W-16 DAL80,ARF3-YOR094W-16 ARF3,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train236,RELATED,A,B,sine,postadd,2,line,preadd,2,3884,Numerical,Numerical,0
train237,ARTIFCE,A,B,exp,preadd,0.25,NA,NA,NA,2503,Binary,Numerical,0
train238,ARTIFCE,A,B,rbf,premult,1,NA,NA,NA,3837,Numerical,Numerical,0
train239,ARTIFCE,A,B,hyperbola,preadd,2,NA,NA,NA,3387,Categorical,Categorical,0
train240,ARTIFCE,A,B,parabola,preadd,2,NA,NA,NA,716,Numerical,Numerical,0
train241,ARTIFCE,A,B,cubic,postmult,0.5,NA,NA,NA,4064,Numerical,Numerical,0
train242,ARTIFCE,A,B,sine,postmult,2,NA,NA,NA,678,Numerical,Numerical,0
train243,ARTIFCE,A,B,line,preadd,0.5,NA,NA,NA,4782,Numerical,Categorical,0
train244,COIL,Chemical component 5,Algal frequency 5,NA,NA,NA,NA,NA,NA,337,Numerical,Numerical,1
train245,ARTIFCE,A,B,line,postmult,0.25,NA,NA,NA,1183,Binary,Binary,0
train246,IDPTREAL,ROX1-YPR065W-16 ROX1,PMC1-YGL006W-16 PMC1,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train247,RELATED,A,B,cubic,postmult,1,rbf,premult,0.5,2945,Numerical,Numerical,0
train248,YEAST,HAP4-YKL109W-16 HAP4,POR1-YNL055C-16 POR1,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train249,ARTIFCE,A,B,parabola,premult,2,NA,NA,NA,1935,Numerical,Numerical,0
train250,ARTIFCE,A,B,atanh,preadd,0.5,NA,NA,NA,1118,Categorical,Numerical,0
train251,YEAST,INO2-YDR123C-16 INO2,ADO1-YJR105W-16 ADO1,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train252,RELATED,A,B,cubic,postmult,1,log,premult,1,4642,Categorical,Numerical,0
train253,ARTIFCE,A,B,hyperbola,preadd,0.25,NA,NA,NA,1309,Numerical,Binary,0
train254,INDEP,A,B,NA,NA,NA,NA,NA,NA,1068,Categorical,Categorical,0
train255,ARTIFCE,A,B,rbf,preadd,1,NA,NA,NA,1298,Numerical,Numerical,0
train256,INDEP,A,B,NA,NA,NA,NA,NA,NA,7557,Categorical,Categorical,0
train257,INDEP,A,B,NA,NA,NA,NA,NA,NA,766,Numerical,Numerical,0
train258,INDEP,A,B,NA,NA,NA,NA,NA,NA,3459,Numerical,Numerical,0
train259,INDEP,A,B,NA,NA,NA,NA,NA,NA,3002,Numerical,Numerical,0
train260,ARTIFCE,A,B,sqrt,preadd,0.5,NA,NA,NA,1119,Numerical,Numerical,0
train261,INDEP,A,B,NA,NA,NA,NA,NA,NA,1944,Numerical,Numerical,0
train262,RELATED,A,B,tanh,premult,1,sqrt,postadd,0.25,1961,Categorical,Numerical,0
train263,ARTIFCE,A,B,exp,premult,1,NA,NA,NA,854,Numerical,Numerical,0
train264,ARTIFCE,A,B,log,postadd,0.25,NA,NA,NA,1225,Binary,Numerical,0
train265,ECOLI,hlyE-b1182-14 hlyE,fnr-b1334-14 fnr,NA,NA,NA,NA,NA,NA,907,Numerical,Numerical,1
train266,INDEP,A,B,NA,NA,NA,NA,NA,NA,1308,Categorical,Numerical,0
train267,IDPTREAL,ccmD-b2198-14 ccmD,narL-b1221-14 narL,NA,NA,NA,NA,NA,NA,854,Numerical,Numerical,1
train268,ARTIFCE,A,B,rbf,preadd,2,NA,NA,NA,3096,Categorical,Numerical,0
train269,RELATED,A,B,atanh,postmult,2,exp,postadd,0.5,1189,Numerical,Numerical,0
train270,INDEP,A,B,NA,NA,NA,NA,NA,NA,7800,Categorical,Numerical,0
train271,ARTIFCE,A,B,sqrt,postadd,2,NA,NA,NA,7462,Binary,Numerical,0
train272,INDEP,A,B,NA,NA,NA,NA,NA,NA,5576,Numerical,Numerical,0
train273,IDPTREAL,GLN3-YER040W-16 GLN3,ZEO1-YOL109W-16 ZEO1,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train274,ARTIFCE,A,B,rbf,premult,0.5,NA,NA,NA,5955,Numerical,Numerical,0
train275,INDEP,A,B,NA,NA,NA,NA,NA,NA,744,Numerical,Binary,0
train276,RELATED,A,B,atanh,preadd,0.5,cubic,postadd,0.25,1244,Numerical,Numerical,0
train277,RELATED,A,B,cubic,postmult,0.25,hyperbola,premult,2,1386,Numerical,Numerical,0
