SampleID,A type,B type
train212,Numerical,Numerical
train213,Numerical,Binary
train214,Categorical,Binary
train215,Binary,Numerical
train216,Binary,Numerical
train217,Categorical,Binary
train218,Numerical,Numerical
train219,Categorical,Numerical
train220,Numerical,Numerical
train221,Binary,Numerical
train222,Categorical,Numerical
train223,Binary,Numerical
train224,Numerical,Numerical
train225,Numerical,Numerical
train226,Numerical,Numerical
train227,Numerical,Numerical
train228,Numerical,Binary
train229,Numerical,Categorical
train230,Numerical,Numerical
train231,Numerical,Numerical
train232,Numerical,Numerical
train233,Numerical,Categorical
train234,Numerical,Numerical
train235,Numerical,Numerical
train236,Numerical,Numerical
train237,Binary,Numerical
train238,Numerical,Numerical
train239,Categorical,Categorical
train240,Numerical,Numerical
train241,Numerical,Numerical
train242,Numerical,Numerical
train243,Numerical,Categorical
train244,Numerical,Numerical
train245,Binary,Binary
train246,Numerical,Numerical
train247,Numerical,Numerical
train248,Numerical,Numerical
train249,Numerical,Numerical
train250,Categorical,Numerical
train251,Numerical,Numerical
train252,Categorical,Numerical
train253,Numerical,Binary
train254,Categorical,Categorical
train255,Numerical,Numerical
train256,Categorical,Categorical
train257,Numerical,Numerical
train258,Numerical,Numerical
train259,Numerical,Numerical
train260,Numerical,Numerical
train261,Numerical,Numerical
train262,Categorical,Numerical
train263,Numerical,Numerical
train264,Binary,Numerical
train265,Numerical,Numerical
train266,Categorical,Numerical
train267,Numerical,Numerical
train268,Categorical,Numerical
train269,Numerical,Numerical
train270,Categorical,Numerical
train271,Binary,Numerical
train272,Numerical,Numerical
train273,Numerical,Numerical
train274,Numerical,Numerical
train275,Numerical,Binary
train276,Numerical,Numerical
train277,Numerical,Numerical
train278,Categorical,Numerical
train279,Numerical,Numerical
train280,Numerical,Numerical
train281,Numerical,Numerical
train282,Numerical,Numerical
train283,Numerical,Numerical
train284,Numerical,Numerical
train285,Numerical,Binary
train286,Numerical,Numerical
train287,Numerical,Numerical
train288,Numerical,Numerical
train289,Categorical,Numerical
train290,Binary,Numerical
train291,Numerical,Binary
train292,Numerical,Binary
train293,Numerical,Numerical
train294,Numerical,Numerical
train295,Binary,Numerical
train296,Binary,Numerical
train297,Numerical,Binary
train298,Numerical,Binary
train299,Numerical,Numerical
train300,Binary,Numerical
train301,Numerical,Numerical
train302,Binary,Numerical
train303,Numerical,Categorical
train304,Numerical,Binary
train305,Numerical,Numerical
train306,Numerical,Numerical
train307,Numerical,Numerical
train308,Numerical,Numerical
train309,Binary,Numerical
train310,Numerical,Categorical
train311,Numerical,Numerical
train312,Categorical,Categorical
train313,Numerical,Numerical
train314,Binary,Numerical
train315,Categorical,Numerical
train316,Numerical,Numerical
train317,Numerical,Numerical
train318,Numerical,Categorical
train319,Numerical,Numerical
train320,Numerical,Categorical
train321,Numerical,Numerical
train322,Numerical,Numerical
train323,Numerical,Numerical
train324,Numerical,Numerical
train325,Numerical,Numerical
train326,Numerical,Numerical
train327,Numerical,Numerical
train328,Categorical,Numerical
train329,Numerical,Numerical
train330,Numerical,Numerical
train331,Binary,Binary
train332,Numerical,Numerical
train333,Numerical,Numerical
train334,Numerical,Binary
train335,Numerical,Numerical
train336,Numerical,Numerical
train337,Numerical,Categorical
train338,Numerical,Numerical
train339,Numerical,Numerical
train340,Binary,Categorical
train341,Numerical,Numerical
train342,Numerical,Numerical
train343,Binary,Numerical
train344,Numerical,Numerical
train345,Numerical,Numerical
train346,Categorical,Numerical
train347,Categorical,Numerical
train348,Numerical,Numerical
train349,Numerical,Numerical
train350,Numerical,Numerical
train351,Numerical,Numerical
train352,Numerical,Numerical
train353,Numerical,Numerical
train354,Numerical,Numerical
train355,Numerical,Numerical
train356,Numerical,Binary
train357,Categorical,Numerical
train358,Numerical,Numerical
train359,Binary,Binary
train360,Numerical,Numerical
train361,Categorical,Numerical
train362,Numerical,Categorical
train363,Numerical,Numerical
train364,Numerical,Binary
train365,Numerical,Categorical
train366,Numerical,Binary
train367,Numerical,Categorical
train368,Numerical,Numerical
train369,Numerical,Categorical
train370,Categorical,Numerical
train371,Categorical,Binary
train372,Categorical,Numerical
train373,Numerical,Numerical
train374,Numerical,Numerical
train375,Binary,Numerical
train376,Numerical,Numerical
train377,Numerical,Categorical
train378,Numerical,Numerical
train379,Numerical,Numerical
train380,Categorical,Numerical
train381,Numerical,Numerical
train382,Categorical,Categorical
train383,Numerical,Numerical
train384,Numerical,Numerical
train385,Numerical,Numerical
train386,Numerical,Numerical
train387,Numerical,Numerical
train388,Categorical,Numerical
train389,Numerical,Numerical
train390,Numerical,Numerical
train391,Numerical,Binary
train392,Numerical,Categorical
train393,Numerical,Binary
train394,Binary,Numerical
train395,Numerical,Categorical
train396,Numerical,Numerical
train397,Numerical,Numerical
train398,Numerical,Numerical
train399,Numerical,Numerical
train400,Categorical,Numerical
train401,Categorical,Numerical
train402,Numerical,Numerical
train403,Numerical,Binary
train404,Numerical,Numerical
train405,Categorical,Numerical
train406,Categorical,Categorical
train407,Numerical,Numerical
train408,Numerical,Numerical
train409,Numerical,Numerical
train410,Numerical,Numerical
train411,Numerical,Numerical
train412,Numerical,Numerical
train413,Numerical,Binary
train414,Numerical,Numerical
train415,Binary,Numerical
train416,Numerical,Numerical
train417,Numerical,Binary
train418,Numerical,Numerical
train419,Numerical,Numerical
train420,Numerical,Numerical
train421,Numerical,Numerical
train422,Numerical,Numerical
train423,Numerical,Binary
train424,Numerical,Numerical
train425,Numerical,Numerical
train426,Numerical,Numerical
train427,Numerical,Numerical
train428,Numerical,Numerical
train429,Binary,Numerical
train430,Numerical,Numerical
train431,Numerical,Numerical
train432,Numerical,Numerical
train433,Numerical,Numerical
train434,Numerical,Numerical
train435,Numerical,Numerical
train436,Numerical,Categorical
train437,Numerical,Numerical
train438,Binary,Numerical
train439,Binary,Numerical
train440,Binary,Numerical
train441,Numerical,Numerical
train442,Numerical,Numerical
train443,Binary,Binary
train444,Numerical,Numerical
train445,Numerical,Numerical
train446,Numerical,Numerical
train447,Numerical,Numerical
train448,Numerical,Numerical
train449,Numerical,Numerical
train450,Categorical,Numerical
train451,Numerical,Numerical
train452,Numerical,Numerical
train453,Categorical,Categorical
train454,Numerical,Numerical
train455,Numerical,Numerical
train456,Numerical,Categorical
train457,Numerical,Numerical
train458,Numerical,Numerical
train459,Numerical,Numerical
train460,Numerical,Numerical
train461,Numerical,Numerical
train462,Binary,Categorical
train463,Numerical,Categorical
train464,Numerical,Categorical
train465,Numerical,Numerical
train466,Numerical,Numerical
train467,Numerical,Numerical
train468,Categorical,Categorical
train469,Binary,Numerical
train470,Numerical,Numerical
train471,Numerical,Numerical
train472,Numerical,Categorical
train473,Numerical,Numerical
train474,Numerical,Binary
train475,Numerical,Numerical
train476,Binary,Categorical
train477,Categorical,Numerical
train478,Numerical,Numerical
train479,Numerical,Numerical
train480,Numerical,Numerical
train481,Numerical,Numerical
train482,Numerical,Numerical
train483,Numerical,Numerical
train484,Categorical,Numerical
train485,Numerical,Numerical
train486,Numerical,Numerical
train487,Numerical,Numerical
train488,Binary,Binary
train489,Numerical,Numerical
train490,Numerical,Numerical
train491,Numerical,Numerical
train492,Numerical,Numerical
train493,Numerical,Numerical
train494,Numerical,Numerical
train495,Numerical,Numerical
train496,Numerical,Numerical
train497,Numerical,Categorical
train498,Numerical,Numerical
train499,Numerical,Numerical
train500,Numerical,Numerical
train501,Numerical,Numerical
train502,Numerical,Numerical
train503,Numerical,Numerical
train504,Numerical,Numerical
train505,Numerical,Numerical
train506,Numerical,Numerical
train507,Numerical,Numerical
train508,Numerical,Binary
train509,Numerical,Numerical
train510,Numerical,Binary
train511,Numerical,Numerical
train512,Categorical,Numerical
train513,Numerical,Numerical
train514,Categorical,Numerical
train515,Numerical,Categorical
train516,Numerical,Numerical
train517,Numerical,Numerical
train518,Numerical,Numerical
train519,Binary,Binary
train520,Numerical,Numerical
train521,Numerical,Numerical
train522,Numerical,Numerical
train523,Numerical,Numerical
train524,Categorical,Numerical
train525,Numerical,Numerical
train526,Numerical,Numerical
train527,Numerical,Binary
train528,Numerical,Numerical
train529,Categorical,Numerical
train530,Numerical,Numerical
train531,Numerical,Numerical
train532,Categorical,Numerical
train533,Numerical,Categorical
train534,Numerical,Numerical
train535,Binary,Numerical
train536,Numerical,Numerical
train537,Categorical,Numerical
train538,Categorical,Numerical
train539,Numerical,Numerical
train540,Categorical,Numerical
train541,Numerical,Numerical
train542,Categorical,Numerical
train543,Categorical,Numerical
train544,Categorical,Categorical
train545,Numerical,Binary
train546,Categorical,Numerical
train547,Numerical,Numerical
train548,Numerical,Numerical
train549,Numerical,Numerical
train550,Categorical,Numerical
train551,Categorical,Numerical
train552,Numerical,Numerical
train553,Categorical,Numerical
train554,Numerical,Numerical
train555,Numerical,Numerical
train556,Categorical,Numerical
train557,Numerical,Numerical
train558,Numerical,Numerical
train559,Categorical,Numerical
train560,Numerical,Binary
train561,Categorical,Binary
train562,Numerical,Numerical
train563,Numerical,Numerical
train564,Numerical,Numerical
train565,Numerical,Numerical
train566,Numerical,Numerical
train567,Numerical,Binary
train568,Numerical,Categorical
train569,Numerical,Numerical
train570,Binary,Numerical
train571,Numerical,Binary
train572,Binary,Categorical
train573,Numerical,Binary
train574,Numerical,Numerical
train575,Numerical,Numerical
train576,Numerical,Numerical
train577,Categorical,Numerical
train578,Numerical,Numerical
train579,Numerical,Binary
train580,Numerical,Categorical
train581,Numerical,Numerical
train582,Categorical,Numerical
train583,Numerical,Numerical
train584,Binary,Numerical
train585,Numerical,Numerical
train586,Numerical,Categorical
train587,Numerical,Numerical
train588,Binary,Numerical
train589,Numerical,Numerical
train590,Binary,Categorical
train591,Numerical,Binary
train592,Categorical,Numerical
train593,Numerical,Numerical
train594,Categorical,Numerical
train595,Numerical,Numerical
train596,Numerical,Numerical
train597,Categorical,Numerical
train598,Numerical,Categorical
train599,Numerical,Numerical
train600,Numerical,Numerical
train601,Numerical,Numerical
train602,Numerical,Numerical
train603,Numerical,Numerical
train604,Numerical,Numerical
train605,Numerical,Numerical
train606,Categorical,Categorical
train607,Numerical,Numerical
train608,Numerical,Numerical
train609,Categorical,Numerical
train610,Numerical,Numerical
train611,Numerical,Numerical
train612,Numerical,Numerical
train613,Binary,Numerical
train614,Binary,Numerical
train615,Numerical,Categorical
train616,Numerical,Binary
train617,Numerical,Numerical
train618,Numerical,Numerical
train619,Binary,Numerical
train620,Numerical,Numerical
train621,Categorical,Categorical
train622,Numerical,Numerical
train623,Categorical,Numerical
train624,Numerical,Categorical
train625,Binary,Numerical
train626,Numerical,Numerical
train627,Binary,Binary
train628,Binary,Numerical
train629,Numerical,Binary
train630,Categorical,Numerical
train631,Numerical,Numerical
train632,Numerical,Binary
train633,Numerical,Numerical
train634,Numerical,Numerical
train635,Numerical,Numerical
train636,Binary,Numerical
train637,Numerical,Numerical
train638,Numerical,Numerical
train639,Numerical,Numerical
train640,Numerical,Numerical
train641,Binary,Numerical
train642,Binary,Numerical
train643,Numerical,Numerical
train644,Numerical,Numerical
train645,Numerical,Numerical
train646,Numerical,Numerical
train647,Numerical,Numerical
train648,Categorical,Numerical
train649,Numerical,Numerical
train650,Categorical,Numerical
train651,Numerical,Numerical
train652,Numerical,Numerical
train653,Numerical,Categorical
train654,Numerical,Numerical
train655,Numerical,Numerical
train656,Numerical,Numerical
train657,Binary,Numerical
train658,Numerical,Binary
train659,Categorical,Numerical
train660,Numerical,Numerical
train661,Numerical,Numerical
train662,Numerical,Numerical
train663,Numerical,Numerical
train664,Numerical,Categorical
train665,Numerical,Numerical
train666,Numerical,Numerical
train667,Numerical,Numerical
train668,Categorical,Numerical
train669,Numerical,Numerical
train670,Numerical,Numerical
train671,Numerical,Categorical
train672,Binary,Numerical
train673,Binary,Numerical
train674,Numerical,Numerical
train675,Numerical,Binary
train676,Numerical,Numerical
train677,Numerical,Numerical
train678,Numerical,Numerical
train679,Numerical,Numerical
train680,Binary,Categorical
train681,Categorical,Numerical
train682,Binary,Numerical
train683,Numerical,Numerical
train684,Numerical,Numerical
train685,Numerical,Numerical
train686,Numerical,Categorical
train687,Numerical,Categorical
train688,Numerical,Numerical
train689,Numerical,Categorical
train690,Numerical,Numerical
train691,Binary,Numerical
train692,Numerical,Numerical
train693,Binary,Numerical
train694,Categorical,Binary
train695,Numerical,Numerical
train696,Numerical,Numerical
train697,Numerical,Numerical
train698,Numerical,Numerical
train699,Numerical,Numerical
train700,Binary,Categorical
train701,Numerical,Numerical
train702,Numerical,Binary
train703,Numerical,Numerical
train704,Numerical,Numerical
train705,Numerical,Numerical
train706,Numerical,Numerical
train707,Numerical,Numerical
train708,Categorical,Numerical
train709,Numerical,Numerical
train710,Numerical,Numerical
train711,Categorical,Categorical
train712,Numerical,Categorical
train713,Categorical,Binary
train714,Numerical,Numerical
train715,Numerical,Numerical
train716,Numerical,Numerical
train717,Numerical,Binary
train718,Numerical,Numerical
train719,Numerical,Binary
train720,Numerical,Numerical
train721,Numerical,Numerical
train722,Numerical,Numerical
train723,Numerical,Numerical
train724,Numerical,Numerical
train725,Numerical,Numerical
train726,Numerical,Numerical
train727,Numerical,Numerical
train728,Numerical,Categorical
train729,Binary,Numerical
train730,Binary,Binary
train731,Numerical,Numerical
train732,Numerical,Numerical
train733,Numerical,Numerical
train734,Numerical,Numerical
train735,Numerical,Categorical
train736,Numerical,Numerical
train737,Numerical,Numerical
train738,Numerical,Numerical
train739,Binary,Numerical
train740,Numerical,Numerical
train741,Categorical,Categorical
train742,Numerical,Numerical
train743,Binary,Numerical
train744,Numerical,Numerical
train745,Categorical,Numerical
train746,Numerical,Numerical
train747,Binary,Numerical
train748,Numerical,Numerical
train749,Numerical,Numerical
train750,Binary,Binary
train751,Numerical,Binary
train752,Numerical,Numerical
train753,Numerical,Numerical
train754,Numerical,Numerical
train755,Numerical,Numerical
train756,Numerical,Numerical
train757,Categorical,Numerical
train758,Numerical,Numerical
train759,Numerical,Numerical
train760,Categorical,Numerical
train761,Numerical,Numerical
train762,Numerical,Numerical
train763,Binary,Numerical
train764,Binary,Numerical
train765,Numerical,Numerical
train766,Numerical,Numerical
train767,Numerical,Numerical
train768,Categorical,Numerical
train769,Numerical,Numerical
train770,Numerical,Numerical
train771,Numerical,Numerical
train772,Numerical,Numerical
train773,Numerical,Numerical
train774,Numerical,Numerical
train775,Numerical,Numerical
train776,Numerical,Numerical
train777,Numerical,Numerical
train778,Categorical,Categorical
train779,Numerical,Categorical
train780,Categorical,Numerical
train781,Binary,Numerical
train782,Numerical,Categorical
train783,Numerical,Binary
train784,Numerical,Numerical
train785,Numerical,Numerical
train786,Numerical,Numerical
train787,Numerical,Categorical
train788,Numerical,Numerical
train789,Categorical,Binary
train790,Numerical,Binary
train791,Numerical,Numerical
train792,Categorical,Numerical
train793,Numerical,Numerical
train794,Numerical,Numerical
train795,Binary,Categorical
train796,Numerical,Numerical
train797,Numerical,Numerical
train798,Numerical,Numerical
train799,Numerical,Numerical
train800,Numerical,Numerical
train801,Numerical,Binary
train802,Numerical,Numerical
train803,Numerical,Numerical
train804,Numerical,Numerical
train805,Numerical,Numerical
train806,Numerical,Numerical
train807,Numerical,Binary
train808,Categorical,Numerical
train809,Numerical,Categorical
train810,Numerical,Categorical
train811,Numerical,Numerical
train812,Numerical,Numerical
train813,Numerical,Numerical
train814,Numerical,Numerical
train815,Numerical,Numerical
train816,Categorical,Binary
train817,Numerical,Categorical
train818,Numerical,Numerical
train819,Binary,Binary
train820,Binary,Numerical
train821,Binary,Numerical
train822,Numerical,Numerical
train823,Numerical,Numerical
train824,Numerical,Numerical
train825,Numerical,Numerical
train826,Numerical,Numerical
train827,Numerical,Numerical
train828,Numerical,Numerical
train829,Numerical,Categorical
train830,Numerical,Numerical
train831,Numerical,Numerical
train832,Binary,Numerical
train833,Binary,Numerical
train834,Categorical,Numerical
train835,Numerical,Numerical
train836,Numerical,Numerical
train837,Numerical,Numerical
train838,Numerical,Numerical
train839,Numerical,Categorical
train840,Numerical,Numerical
train841,Numerical,Numerical
train842,Numerical,Numerical
train843,Numerical,Binary
train844,Categorical,Numerical
train845,Numerical,Numerical
train846,Numerical,Categorical
train847,Numerical,Categorical
train848,Numerical,Categorical
train849,Numerical,Numerical
train850,Numerical,Numerical
train851,Categorical,Numerical
train852,Numerical,Numerical
train853,Numerical,Binary
train854,Numerical,Numerical
train855,Numerical,Categorical
train856,Numerical,Numerical
train857,Numerical,Numerical
train858,Numerical,Numerical
train859,Numerical,Numerical
train860,Binary,Numerical
train861,Binary,Binary
train862,Numerical,Numerical
train863,Numerical,Numerical
train864,Numerical,Categorical
train865,Binary,Numerical
train866,Numerical,Numerical
train867,Numerical,Numerical
train868,Numerical,Binary
train869,Numerical,Numerical
train870,Binary,Numerical
train871,Categorical,Numerical
train872,Binary,Numerical
train873,Numerical,Numerical
train874,Binary,Binary
train875,Categorical,Categorical
train876,Numerical,Numerical
train877,Numerical,Numerical
train878,Numerical,Categorical
train879,Numerical,Binary
train880,Numerical,Numerical
train881,Numerical,Numerical
train882,Categorical,Binary
train883,Numerical,Numerical
train884,Numerical,Numerical
train885,Numerical,Numerical
train886,Numerical,Numerical
train887,Categorical,Numerical
train888,Numerical,Numerical
train889,Categorical,Numerical
train890,Numerical,Numerical
train891,Numerical,Numerical
train892,Numerical,Numerical
train893,Binary,Categorical
train894,Categorical,Numerical
train895,Numerical,Numerical
train896,Binary,Numerical
train897,Numerical,Numerical
train898,Numerical,Categorical
train899,Numerical,Categorical
train900,Numerical,Numerical
train901,Numerical,Categorical
train902,Binary,Numerical
train903,Numerical,Numerical
train904,Numerical,Numerical
train905,Numerical,Numerical
train906,Categorical,Numerical
train907,Numerical,Numerical
train908,Categorical,Categorical
train909,Numerical,Numerical
train910,Numerical,Numerical
train911,Binary,Numerical
train912,Numerical,Numerical
train913,Numerical,Numerical
train914,Numerical,Binary
train915,Numerical,Binary
train916,Numerical,Numerical
train917,Numerical,Numerical
train918,Numerical,Numerical
train919,Numerical,Numerical
train920,Numerical,Categorical
train921,Numerical,Numerical
train922,Numerical,Numerical
train923,Binary,Numerical
train924,Numerical,Numerical
train925,Numerical,Numerical
train926,Numerical,Numerical
train927,Numerical,Numerical
train928,Categorical,Numerical
train929,Categorical,Numerical
train930,Numerical,Numerical
train931,Numerical,Numerical
train932,Numerical,Binary
train933,Numerical,Numerical
train934,Numerical,Numerical
train935,Numerical,Numerical
train936,Numerical,Numerical
train937,Numerical,Numerical
train938,Numerical,Numerical
train939,Numerical,Categorical
train940,Numerical,Numerical
train941,Numerical,Numerical
train942,Numerical,Numerical
train943,Numerical,Binary
train944,Numerical,Categorical
train945,Numerical,Categorical
train946,Numerical,Numerical
train947,Numerical,Numerical
train948,Numerical,Numerical
train949,Categorical,Numerical
train950,Numerical,Numerical
train951,Numerical,Numerical
train952,Numerical,Numerical
train953,Numerical,Numerical
train954,Numerical,Numerical
train955,Categorical,Numerical
train956,Numerical,Binary
train957,Categorical,Numerical
train958,Numerical,Numerical
train959,Categorical,Numerical
train960,Numerical,Categorical
train961,Numerical,Numerical
train962,Numerical,Categorical
train963,Categorical,Numerical
train964,Binary,Numerical
train965,Categorical,Numerical
train966,Numerical,Numerical
train967,Numerical,Numerical
train968,Numerical,Numerical
train969,Binary,Numerical
train970,Numerical,Numerical
train971,Numerical,Numerical
train972,Numerical,Numerical
train973,Numerical,Categorical
train974,Binary,Binary
train975,Categorical,Numerical
train976,Numerical,Binary
train977,Categorical,Numerical
train978,Numerical,Numerical
train979,Numerical,Binary
train980,Numerical,Numerical
train981,Numerical,Numerical
train982,Numerical,Numerical
train983,Numerical,Numerical
train984,Numerical,Numerical
train985,Numerical,Numerical
train986,Numerical,Numerical
train987,Numerical,Numerical
train988,Numerical,Numerical
train989,Numerical,Numerical
train990,Numerical,Numerical
train991,Numerical,Numerical
train992,Numerical,Numerical
train993,Categorical,Numerical
train994,Categorical,Binary
train995,Numerical,Numerical
train996,Numerical,Numerical
train997,Categorical,Binary
train998,Numerical,Numerical
train999,Numerical,Categorical
train1000,Numerical,Numerical
train1001,Numerical,Numerical
train1002,Numerical,Numerical
train1003,Categorical,Numerical
train1004,Numerical,Categorical
train1005,Binary,Numerical
train1006,Numerical,Numerical
train1007,Numerical,Categorical
train1008,Categorical,Binary
train1009,Numerical,Numerical
train1010,Numerical,Categorical
train1011,Numerical,Numerical
train1012,Numerical,Numerical
train1013,Numerical,Numerical
train1014,Binary,Numerical
train1015,Numerical,Numerical
train1016,Numerical,Binary
train1017,Numerical,Binary
train1018,Binary,Numerical
train1019,Numerical,Numerical
train1020,Numerical,Numerical
train1021,Numerical,Numerical
train1022,Numerical,Numerical
train1023,Numerical,Categorical
train1024,Numerical,Numerical
train1025,Numerical,Numerical
train1026,Binary,Numerical
train1027,Numerical,Numerical
train1028,Numerical,Categorical
train1029,Numerical,Numerical
train1030,Numerical,Numerical
train1031,Numerical,Categorical
train1032,Numerical,Numerical
train1033,Numerical,Numerical
train1034,Numerical,Binary
train1035,Numerical,Numerical
train1036,Numerical,Binary
train1037,Numerical,Numerical
train1038,Numerical,Numerical
train1039,Numerical,Numerical
train1040,Numerical,Categorical
train1041,Numerical,Numerical
train1042,Binary,Binary
train1043,Numerical,Numerical
train1044,Numerical,Numerical
train1045,Numerical,Categorical
train1046,Numerical,Numerical
train1047,Numerical,Binary
train1048,Numerical,Numerical
train1049,Numerical,Numerical
train1050,Binary,Binary
train1051,Numerical,Numerical
train1052,Numerical,Numerical
train1053,Numerical,Categorical
train1054,Numerical,Binary
train1055,Numerical,Numerical
train1056,Numerical,Numerical
train1057,Numerical,Numerical
train1058,Numerical,Numerical
train1059,Binary,Numerical
train1060,Categorical,Categorical
train1061,Numerical,Numerical
train1062,Categorical,Binary
train1063,Numerical,Categorical
train1064,Categorical,Binary
train1065,Numerical,Categorical
train1066,Categorical,Numerical
train1067,Categorical,Numerical
train1068,Numerical,Numerical
train1069,Categorical,Numerical
train1070,Numerical,Numerical
train1071,Binary,Numerical
train1072,Numerical,Categorical
train1073,Numerical,Numerical
train1074,Categorical,Numerical
train1075,Numerical,Categorical
train1076,Numerical,Numerical
train1077,Numerical,Categorical
train1078,Numerical,Numerical
train1079,Numerical,Numerical
train1080,Numerical,Numerical
train1081,Numerical,Numerical
train1082,Binary,Numerical
train1083,Categorical,Numerical
train1084,Numerical,Numerical
train1085,Numerical,Categorical
train1086,Numerical,Numerical
