SampleID,A type,B type,RealData [yes=1]
train262,Binary,Numerical,0
train263,Categorical,Numerical,0
train264,Numerical,Numerical,0
train265,Numerical,Numerical,0
train266,Numerical,Numerical,0
train267,Numerical,Numerical,0
train268,Numerical,Numerical,1
train269,Binary,Numerical,0
train270,Numerical,Numerical,1
train271,Numerical,Categorical,1
train272,Numerical,Numerical,1
train273,Numerical,Numerical,0
train274,Numerical,Binary,0
train275,Numerical,Numerical,0
train276,Numerical,Binary,0
train277,Binary,Numerical,0
train278,Numerical,Numerical,1
train279,Numerical,Numerical,0
train280,Numerical,Numerical,1
train281,Numerical,Numerical,1
train282,Numerical,Numerical,1
train283,Numerical,Binary,0
train284,Numerical,Numerical,0
train285,Binary,Numerical,0
train286,Numerical,Binary,0
train287,Numerical,Numerical,0
train288,Categorical,Numerical,0
train289,Numerical,Categorical,0
train290,Numerical,Numerical,0
train291,Numerical,Numerical,0
train292,Numerical,Categorical,1
train293,Numerical,Numerical,0
train294,Numerical,Numerical,0
train295,Numerical,Numerical,0
train296,Numerical,Numerical,0
train297,Numerical,Numerical,0
train298,Numerical,Numerical,0
train299,Categorical,Numerical,0
train300,Numerical,Numerical,0
train301,Numerical,Numerical,0
train302,Numerical,Categorical,0
train303,Numerical,Numerical,0
train304,Binary,Numerical,1
train305,Numerical,Numerical,0
train306,Numerical,Categorical,0
train307,Numerical,Numerical,0
train308,Numerical,Numerical,0
train309,Numerical,Numerical,0
train310,Numerical,Numerical,0
train311,Numerical,Numerical,1
train312,Numerical,Numerical,0
train313,Binary,Numerical,0
train314,Numerical,Numerical,0
train315,Categorical,Numerical,0
train316,Numerical,Numerical,0
train317,Numerical,Numerical,0
train318,Numerical,Numerical,0
train319,Numerical,Numerical,0
train320,Numerical,Numerical,0
train321,Numerical,Numerical,0
train322,Binary,Categorical,0
train323,Numerical,Categorical,0
train324,Categorical,Numerical,0
train325,Numerical,Numerical,0
train326,Numerical,Categorical,0
train327,Numerical,Categorical,0
train328,Binary,Numerical,0
train329,Binary,Binary,0
train330,Numerical,Numerical,0
train331,Numerical,Numerical,0
train332,Categorical,Numerical,0
train333,Numerical,Binary,0
train334,Numerical,Numerical,0
train335,Numerical,Numerical,1
train336,Numerical,Numerical,0
train337,Binary,Numerical,0
train338,Numerical,Numerical,0
train339,Numerical,Categorical,0
train340,Numerical,Numerical,1
train341,Numerical,Numerical,0
train342,Numerical,Categorical,0
train343,Numerical,Numerical,0
train344,Numerical,Binary,0
train345,Numerical,Numerical,0
train346,Numerical,Categorical,0
train347,Numerical,Numerical,0
train348,Numerical,Numerical,0
train349,Numerical,Numerical,1
train350,Numerical,Numerical,0
train351,Numerical,Numerical,0
train352,Binary,Numerical,1
train353,Numerical,Binary,1
train354,Numerical,Numerical,0
train355,Numerical,Binary,0
train356,Binary,Categorical,1
train357,Categorical,Numerical,0
train358,Numerical,Numerical,0
train359,Numerical,Numerical,0
train360,Numerical,Numerical,0
train361,Numerical,Numerical,0
train362,Numerical,Numerical,0
train363,Numerical,Numerical,0
train364,Numerical,Numerical,0
train365,Numerical,Numerical,1
train366,Numerical,Numerical,0
train367,Numerical,Numerical,0
train368,Numerical,Numerical,1
train369,Numerical,Binary,0
train370,Categorical,Numerical,0
train371,Binary,Categorical,0
train372,Numerical,Numerical,0
train373,Numerical,Binary,0
train374,Numerical,Numerical,0
train375,Categorical,Categorical,0
train376,Numerical,Numerical,0
train377,Numerical,Binary,1
train378,Binary,Numerical,1
train379,Numerical,Numerical,0
train380,Numerical,Numerical,0
train381,Categorical,Binary,0
train382,Numerical,Categorical,0
train383,Numerical,Categorical,0
train384,Numerical,Numerical,0
train385,Numerical,Numerical,0
train386,Categorical,Numerical,0
train387,Numerical,Numerical,0
train388,Binary,Categorical,0
train389,Binary,Numerical,0
train390,Numerical,Numerical,0
train391,Numerical,Numerical,1
train392,Numerical,Numerical,0
train393,Numerical,Numerical,0
train394,Numerical,Numerical,0
train395,Numerical,Numerical,1
train396,Numerical,Numerical,0
train397,Numerical,Numerical,0
train398,Numerical,Numerical,0
train399,Numerical,Numerical,0
train400,Numerical,Numerical,0
train401,Numerical,Numerical,1
train402,Binary,Numerical,0
train403,Numerical,Numerical,1
train404,Numerical,Numerical,0
train405,Numerical,Numerical,0
train406,Numerical,Categorical,1
train407,Numerical,Categorical,0
train408,Numerical,Numerical,0
train409,Numerical,Numerical,0
train410,Numerical,Numerical,0
train411,Numerical,Numerical,0
train412,Numerical,Numerical,0
train413,Numerical,Numerical,0
train414,Numerical,Numerical,0
train415,Numerical,Binary,0
train416,Numerical,Categorical,0
train417,Numerical,Numerical,0
train418,Numerical,Categorical,0
train419,Binary,Numerical,0
train420,Numerical,Numerical,1
train421,Numerical,Numerical,0
train422,Numerical,Numerical,0
train423,Numerical,Numerical,0
train424,Numerical,Numerical,0
train425,Numerical,Categorical,1
train426,Numerical,Categorical,0
train427,Numerical,Numerical,1
train428,Numerical,Numerical,0
train429,Numerical,Numerical,0
train430,Binary,Numerical,0
train431,Numerical,Numerical,1
train432,Numerical,Numerical,0
train433,Numerical,Numerical,0
train434,Categorical,Numerical,0
train435,Categorical,Numerical,0
train436,Categorical,Numerical,0
train437,Numerical,Numerical,0
train438,Numerical,Numerical,0
train439,Numerical,Numerical,0
train440,Numerical,Numerical,0
train441,Categorical,Numerical,0
train442,Numerical,Numerical,1
train443,Numerical,Numerical,0
train444,Binary,Numerical,0
train445,Numerical,Numerical,0
train446,Categorical,Categorical,0
train447,Numerical,Binary,0
train448,Binary,Categorical,0
train449,Numerical,Numerical,0
train450,Numerical,Numerical,0
train451,Binary,Numerical,0
train452,Categorical,Categorical,0
train453,Numerical,Binary,1
train454,Numerical,Numerical,0
train455,Numerical,Numerical,0
train456,Numerical,Binary,0
train457,Categorical,Numerical,0
train458,Numerical,Numerical,0
train459,Numerical,Categorical,0
train460,Numerical,Numerical,0
train461,Numerical,Numerical,0
train462,Numerical,Binary,0
train463,Numerical,Numerical,0
train464,Numerical,Numerical,0
train465,Numerical,Numerical,0
train466,Numerical,Binary,0
train467,Numerical,Numerical,0
train468,Numerical,Numerical,0
train469,Numerical,Numerical,0
train470,Categorical,Numerical,0
train471,Numerical,Numerical,0
train472,Numerical,Numerical,1
train473,Binary,Numerical,0
train474,Numerical,Binary,0
train475,Numerical,Numerical,0
train476,Numerical,Numerical,0
train477,Binary,Numerical,0
train478,Categorical,Categorical,0
train479,Numerical,Numerical,0
train480,Categorical,Numerical,0
train481,Binary,Categorical,0
train482,Numerical,Categorical,0
train483,Numerical,Numerical,0
train484,Binary,Numerical,0
train485,Numerical,Numerical,1
train486,Categorical,Numerical,1
train487,Numerical,Numerical,0
train488,Numerical,Binary,0
train489,Categorical,Binary,0
train490,Numerical,Numerical,0
train491,Numerical,Binary,0
train492,Numerical,Numerical,0
train493,Numerical,Numerical,0
train494,Numerical,Numerical,0
train495,Numerical,Numerical,0
train496,Numerical,Numerical,1
train497,Numerical,Numerical,0
train498,Numerical,Numerical,0
train499,Binary,Numerical,0
train500,Numerical,Numerical,0
train501,Numerical,Numerical,0
train502,Numerical,Numerical,0
train503,Numerical,Numerical,1
train504,Numerical,Numerical,0
train505,Binary,Binary,0
train506,Numerical,Numerical,1
train507,Numerical,Numerical,0
train508,Numerical,Numerical,0
train509,Numerical,Categorical,1
train510,Binary,Numerical,0
train511,Numerical,Numerical,0
train512,Categorical,Numerical,1
train513,Categorical,Numerical,0
train514,Numerical,Numerical,0
train515,Numerical,Binary,1
train516,Numerical,Numerical,0
train517,Categorical,Numerical,0
train518,Numerical,Numerical,0
train519,Categorical,Numerical,0
train520,Numerical,Numerical,1
train521,Numerical,Numerical,0
train522,Numerical,Categorical,0
train523,Numerical,Numerical,0
train524,Numerical,Binary,0
train525,Binary,Numerical,0
train526,Numerical,Numerical,0
train527,Numerical,Numerical,0
train528,Numerical,Numerical,0
train529,Numerical,Numerical,0
train530,Numerical,Numerical,0
train531,Numerical,Numerical,0
train532,Numerical,Categorical,0
train533,Numerical,Numerical,1
train534,Numerical,Numerical,0
train535,Numerical,Categorical,0
train536,Numerical,Numerical,0
train537,Numerical,Numerical,1
train538,Numerical,Numerical,0
train539,Numerical,Numerical,0
train540,Numerical,Numerical,0
train541,Categorical,Binary,0
train542,Numerical,Numerical,1
train543,Numerical,Binary,0
train544,Numerical,Numerical,0
train545,Numerical,Numerical,0
train546,Binary,Numerical,0
train547,Numerical,Binary,0
train548,Numerical,Numerical,0
train549,Binary,Numerical,0
train550,Numerical,Numerical,0
train551,Categorical,Numerical,0
train552,Numerical,Numerical,0
train553,Numerical,Numerical,0
train554,Numerical,Categorical,1
train555,Binary,Numerical,0
train556,Numerical,Numerical,0
train557,Numerical,Numerical,0
train558,Numerical,Numerical,1
train559,Numerical,Numerical,0
train560,Numerical,Numerical,0
train561,Binary,Numerical,0
train562,Numerical,Numerical,0
train563,Numerical,Numerical,0
train564,Numerical,Numerical,0
train565,Numerical,Numerical,0
train566,Numerical,Categorical,0
train567,Categorical,Numerical,0
train568,Numerical,Binary,0
train569,Numerical,Numerical,0
train570,Binary,Numerical,0
train571,Numerical,Numerical,1
train572,Numerical,Numerical,0
train573,Numerical,Numerical,1
train574,Binary,Binary,0
train575,Numerical,Numerical,0
train576,Categorical,Binary,0
train577,Numerical,Numerical,0
train578,Numerical,Numerical,1
train579,Numerical,Numerical,1
train580,Numerical,Categorical,0
train581,Categorical,Numerical,1
train582,Categorical,Numerical,1
train583,Binary,Numerical,0
train584,Categorical,Numerical,1
train585,Numerical,Categorical,0
train586,Numerical,Numerical,0
train587,Numerical,Numerical,0
train588,Numerical,Categorical,0
train589,Categorical,Numerical,0
train590,Numerical,Binary,1
train591,Numerical,Numerical,0
train592,Numerical,Numerical,0
train593,Categorical,Numerical,0
train594,Numerical,Numerical,0
train595,Numerical,Numerical,0
train596,Numerical,Numerical,0
train597,Numerical,Numerical,1
train598,Numerical,Numerical,0
train599,Numerical,Numerical,1
train600,Numerical,Numerical,0
train601,Numerical,Numerical,0
train602,Numerical,Numerical,0
train603,Numerical,Numerical,1
train604,Numerical,Numerical,1
train605,Numerical,Numerical,0
train606,Numerical,Numerical,0
train607,Numerical,Numerical,0
train608,Numerical,Numerical,0
train609,Numerical,Numerical,1
train610,Categorical,Numerical,0
train611,Numerical,Binary,1
train612,Binary,Numerical,0
train613,Binary,Binary,0
train614,Numerical,Numerical,0
train615,Numerical,Numerical,1
train616,Numerical,Categorical,0
train617,Numerical,Binary,0
train618,Categorical,Binary,0
train619,Numerical,Numerical,0
train620,Categorical,Numerical,1
train621,Numerical,Numerical,0
train622,Numerical,Numerical,0
train623,Numerical,Numerical,0
train624,Numerical,Binary,0
train625,Numerical,Numerical,0
train626,Numerical,Categorical,0
train627,Categorical,Numerical,0
train628,Numerical,Numerical,0
train629,Categorical,Numerical,0
train630,Numerical,Numerical,0
train631,Numerical,Categorical,1
train632,Numerical,Numerical,0
train633,Numerical,Numerical,0
train634,Numerical,Categorical,0
train635,Categorical,Numerical,0
train636,Categorical,Categorical,0
train637,Numerical,Numerical,0
train638,Numerical,Numerical,1
train639,Numerical,Numerical,0
train640,Numerical,Numerical,0
train641,Categorical,Numerical,0
train642,Categorical,Binary,1
train643,Categorical,Numerical,0
train644,Numerical,Numerical,0
train645,Numerical,Categorical,0
train646,Binary,Numerical,0
train647,Numerical,Numerical,0
train648,Numerical,Numerical,1
train649,Numerical,Numerical,0
train650,Numerical,Numerical,0
train651,Numerical,Numerical,0
train652,Numerical,Numerical,0
train653,Numerical,Numerical,0
train654,Binary,Numerical,0
train655,Numerical,Numerical,0
train656,Categorical,Numerical,1
train657,Binary,Numerical,0
train658,Numerical,Binary,0
train659,Numerical,Numerical,1
train660,Numerical,Categorical,0
train661,Categorical,Categorical,1
train662,Binary,Binary,0
train663,Numerical,Numerical,0
train664,Categorical,Numerical,0
train665,Binary,Categorical,1
train666,Numerical,Numerical,0
train667,Numerical,Numerical,0
train668,Binary,Numerical,1
train669,Numerical,Numerical,0
train670,Categorical,Numerical,0
train671,Numerical,Binary,0
train672,Numerical,Numerical,0
train673,Binary,Categorical,0
train674,Categorical,Numerical,0
train675,Numerical,Categorical,0
train676,Numerical,Numerical,0
train677,Numerical,Numerical,1
train678,Numerical,Numerical,0
train679,Numerical,Numerical,0
train680,Numerical,Binary,0
train681,Categorical,Numerical,0
train682,Numerical,Numerical,0
train683,Numerical,Binary,0
train684,Binary,Numerical,0
train685,Categorical,Numerical,0
train686,Numerical,Numerical,0
train687,Numerical,Numerical,0
train688,Numerical,Numerical,0
train689,Categorical,Numerical,0
train690,Numerical,Numerical,0
train691,Numerical,Numerical,0
train692,Numerical,Numerical,0
train693,Numerical,Numerical,1
train694,Numerical,Numerical,0
train695,Numerical,Numerical,0
train696,Categorical,Numerical,0
train697,Numerical,Numerical,0
train698,Numerical,Numerical,0
train699,Categorical,Numerical,0
train700,Numerical,Categorical,0
train701,Binary,Numerical,0
train702,Numerical,Categorical,1
train703,Categorical,Categorical,0
train704,Numerical,Numerical,0
train705,Numerical,Numerical,0
train706,Categorical,Numerical,0
train707,Numerical,Categorical,0
train708,Numerical,Numerical,0
train709,Numerical,Numerical,1
train710,Numerical,Numerical,1
train711,Numerical,Binary,0
train712,Binary,Numerical,0
train713,Numerical,Numerical,0
train714,Numerical,Numerical,0
train715,Categorical,Numerical,1
train716,Numerical,Numerical,0
train717,Numerical,Numerical,0
train718,Numerical,Numerical,0
train719,Numerical,Categorical,0
train720,Numerical,Numerical,0
train721,Numerical,Numerical,0
train722,Numerical,Numerical,0
train723,Binary,Numerical,0
train724,Binary,Numerical,0
train725,Numerical,Numerical,0
train726,Numerical,Numerical,0
train727,Numerical,Categorical,1
train728,Numerical,Numerical,1
train729,Numerical,Numerical,0
train730,Numerical,Numerical,1
train731,Binary,Numerical,0
train732,Categorical,Numerical,0
train733,Numerical,Numerical,0
train734,Numerical,Numerical,0
train735,Numerical,Numerical,0
train736,Numerical,Numerical,0
train737,Numerical,Numerical,0
train738,Binary,Numerical,0
train739,Numerical,Numerical,1
train740,Numerical,Numerical,0
train741,Numerical,Numerical,1
train742,Numerical,Numerical,0
train743,Binary,Categorical,0
train744,Numerical,Numerical,0
train745,Categorical,Numerical,0
train746,Numerical,Numerical,0
train747,Numerical,Numerical,0
train748,Numerical,Numerical,0
train749,Numerical,Numerical,0
train750,Numerical,Categorical,0
train751,Numerical,Numerical,1
train752,Numerical,Numerical,0
train753,Binary,Numerical,0
train754,Binary,Numerical,0
train755,Categorical,Numerical,1
train756,Categorical,Numerical,0
train757,Numerical,Numerical,0
train758,Numerical,Numerical,0
train759,Numerical,Numerical,1
train760,Numerical,Binary,0
train761,Numerical,Categorical,0
train762,Binary,Numerical,0
train763,Binary,Numerical,0
train764,Categorical,Numerical,0
train765,Numerical,Numerical,1
train766,Categorical,Categorical,0
train767,Numerical,Numerical,0
train768,Numerical,Numerical,0
train769,Numerical,Categorical,0
train770,Numerical,Numerical,0
train771,Numerical,Numerical,0
train772,Categorical,Numerical,1
train773,Numerical,Numerical,0
train774,Numerical,Numerical,1
train775,Numerical,Numerical,1
train776,Binary,Binary,0
train777,Numerical,Categorical,1
train778,Categorical,Numerical,0
train779,Categorical,Numerical,0
train780,Numerical,Numerical,0
train781,Binary,Categorical,0
train782,Numerical,Numerical,0
train783,Numerical,Binary,0
train784,Numerical,Numerical,0
train785,Numerical,Numerical,1
train786,Binary,Numerical,0
train787,Categorical,Numerical,0
train788,Numerical,Binary,0
train789,Numerical,Numerical,0
train790,Numerical,Numerical,0
train791,Numerical,Categorical,0
train792,Categorical,Categorical,0
train793,Numerical,Binary,0
train794,Numerical,Numerical,0
train795,Binary,Binary,0
train796,Numerical,Numerical,0
train797,Numerical,Numerical,0
train798,Numerical,Numerical,0
train799,Numerical,Categorical,0
train800,Numerical,Categorical,0
train801,Numerical,Numerical,0
train802,Numerical,Categorical,0
train803,Categorical,Numerical,1
train804,Numerical,Numerical,0
train805,Numerical,Numerical,1
train806,Categorical,Numerical,0
train807,Numerical,Numerical,0
train808,Binary,Binary,0
train809,Numerical,Binary,0
train810,Categorical,Numerical,0
train811,Categorical,Binary,0
train812,Categorical,Numerical,0
train813,Categorical,Numerical,0
train814,Numerical,Categorical,0
train815,Numerical,Numerical,0
train816,Categorical,Binary,0
train817,Binary,Numerical,0
train818,Numerical,Numerical,0
train819,Numerical,Numerical,0
train820,Binary,Numerical,0
train821,Numerical,Numerical,0
train822,Numerical,Numerical,0
train823,Binary,Numerical,0
train824,Numerical,Numerical,0
train825,Binary,Numerical,0
train826,Categorical,Numerical,1
train827,Numerical,Numerical,0
train828,Numerical,Numerical,0
train829,Numerical,Numerical,0
train830,Numerical,Numerical,0
train831,Numerical,Numerical,1
train832,Numerical,Numerical,0
train833,Numerical,Categorical,0
train834,Numerical,Numerical,0
train835,Numerical,Binary,0
train836,Numerical,Numerical,0
train837,Numerical,Numerical,0
train838,Binary,Numerical,0
train839,Numerical,Numerical,0
train840,Numerical,Numerical,0
train841,Numerical,Numerical,0
train842,Numerical,Numerical,1
train843,Numerical,Numerical,0
train844,Numerical,Numerical,1
train845,Numerical,Categorical,0
train846,Numerical,Numerical,1
train847,Numerical,Binary,1
train848,Numerical,Numerical,0
train849,Numerical,Numerical,0
train850,Numerical,Numerical,0
train851,Numerical,Categorical,0
train852,Numerical,Numerical,0
train853,Numerical,Numerical,0
train854,Numerical,Numerical,0
train855,Categorical,Numerical,0
train856,Numerical,Categorical,0
train857,Numerical,Categorical,1
train858,Numerical,Numerical,1
train859,Binary,Numerical,0
train860,Numerical,Numerical,0
train861,Numerical,Numerical,0
train862,Numerical,Numerical,0
train863,Numerical,Numerical,0
train864,Categorical,Numerical,0
train865,Numerical,Numerical,0
train866,Numerical,Numerical,0
train867,Categorical,Numerical,0
train868,Numerical,Categorical,0
train869,Binary,Binary,1
train870,Numerical,Binary,0
train871,Numerical,Binary,0
train872,Numerical,Numerical,0
train873,Numerical,Numerical,1
train874,Numerical,Binary,0
train875,Numerical,Numerical,1
train876,Numerical,Numerical,0
train877,Numerical,Numerical,0
train878,Numerical,Binary,0
train879,Categorical,Numerical,0
train880,Numerical,Categorical,0
train881,Numerical,Numerical,0
train882,Numerical,Numerical,0
train883,Numerical,Numerical,0
train884,Numerical,Numerical,0
train885,Categorical,Numerical,0
train886,Numerical,Numerical,0
train887,Numerical,Numerical,0
train888,Numerical,Numerical,0
train889,Numerical,Numerical,0
train890,Numerical,Numerical,0
train891,Numerical,Numerical,0
train892,Numerical,Numerical,0
train893,Numerical,Numerical,0
train894,Numerical,Categorical,0
train895,Numerical,Numerical,0
train896,Numerical,Binary,0
train897,Numerical,Binary,0
train898,Numerical,Numerical,0
train899,Numerical,Numerical,0
train900,Binary,Binary,0
train901,Numerical,Binary,1
train902,Categorical,Numerical,0
train903,Numerical,Numerical,1
train904,Numerical,Numerical,1
train905,Categorical,Numerical,0
train906,Binary,Binary,0
train907,Binary,Binary,0
train908,Numerical,Numerical,0
train909,Categorical,Numerical,0
train910,Numerical,Binary,0
train911,Numerical,Numerical,0
train912,Numerical,Binary,0
train913,Numerical,Binary,0
train914,Numerical,Numerical,1
train915,Numerical,Binary,0
train916,Numerical,Numerical,0
train917,Numerical,Numerical,1
train918,Numerical,Numerical,1
train919,Numerical,Numerical,0
train920,Numerical,Numerical,0
train921,Categorical,Numerical,0
train922,Numerical,Numerical,0
train923,Numerical,Numerical,0
train924,Numerical,Binary,1
train925,Numerical,Numerical,1
train926,Numerical,Numerical,0
train927,Numerical,Numerical,0
train928,Numerical,Numerical,0
train929,Numerical,Binary,0
train930,Numerical,Numerical,0
train931,Numerical,Categorical,0
train932,Numerical,Numerical,1
train933,Numerical,Numerical,0
train934,Categorical,Binary,0
train935,Numerical,Numerical,0
train936,Binary,Numerical,0
train937,Numerical,Binary,0
train938,Numerical,Numerical,0
train939,Numerical,Numerical,0
train940,Numerical,Numerical,0
train941,Categorical,Binary,0
train942,Numerical,Categorical,0
train943,Numerical,Binary,0
train944,Numerical,Numerical,0
