SampleID,Target [1 for A->B; -1 for B->A and 0otherwise],Details [1 for A->B; 2 for A<-B; 3 for A-B; 4 for A|B]
train549,1,1
train550,0,4
train551,0,4
train552,-1,2
train553,1,1
train554,1,1
train555,0,3
train556,0,3
train557,0,3
train558,0,4
train559,1,1
train560,-1,2
train561,1,1
train562,-1,2
train563,0,4
train564,0,4
train565,-1,2
train566,0,3
train567,0,4
train568,-1,2
train569,0,3
train570,0,3
train571,0,4
train572,-1,2
train573,0,4
train574,1,1
train575,-1,2
train576,0,3
train577,0,4
train578,-1,2
train579,0,4
train580,1,1
train581,1,1
train582,-1,2
train583,1,1
train584,-1,2
train585,1,1
train586,-1,2
train587,1,1
train588,-1,2
train589,0,4
train590,0,3
train591,0,3
train592,0,3
train593,1,1
train594,1,1
train595,-1,2
train596,0,3
train597,0,4
train598,0,3
train599,1,1
train600,1,1
train601,-1,2
train602,-1,2
train603,1,1
train604,0,4
train605,-1,2
train606,1,1
train607,1,1
train608,0,4
train609,-1,2
train610,1,1
train611,0,3
train612,-1,2
train613,0,3
train614,-1,2
train615,1,1
train616,0,4
train617,0,4
train618,1,1
train619,1,1
train620,0,3
train621,0,4
train622,0,4
train623,1,1
train624,0,3
train625,0,4
train626,-1,2
train627,1,1
train628,0,3
train629,-1,2
train630,1,1
train631,0,4
train632,0,3
train633,-1,2
train634,-1,2
train635,0,3
train636,-1,2
train637,0,4
train638,1,1
train639,1,1
train640,1,1
train641,0,3
train642,-1,2
train643,-1,2
train644,1,1
train645,1,1
train646,-1,2
train647,-1,2
train648,0,4
train649,0,4
train650,-1,2
train651,0,4
train652,0,4
train653,1,1
train654,0,3
train655,1,1
train656,1,1
train657,1,1
train658,0,3
train659,0,4
train660,1,1
train661,0,3
train662,0,3
train663,0,3
train664,-1,2
train665,-1,2
train666,0,4
train667,-1,2
train668,-1,2
train669,1,1
train670,0,3
train671,-1,2
train672,0,3
train673,0,3
train674,0,4
train675,0,4
train676,-1,2
train677,1,1
train678,1,1
train679,0,4
train680,1,1
train681,-1,2
train682,0,3
train683,1,1
train684,0,3
train685,1,1
train686,0,3
train687,0,3
train688,-1,2
train689,0,4
train690,0,3
train691,0,4
train692,0,3
train693,1,1
train694,0,3
train695,1,1
train696,0,4
train697,0,4
train698,1,1
train699,1,1
train700,0,4
train701,1,1
train702,-1,2
train703,1,1
train704,1,1
train705,0,3
train706,0,3
train707,0,3
train708,0,3
train709,-1,2
train710,-1,2
train711,-1,2
train712,1,1
train713,0,3
train714,-1,2
train715,0,3
train716,-1,2
train717,0,4
train718,1,1
train719,-1,2
train720,0,4
train721,0,4
train722,0,4
train723,0,4
train724,0,4
train725,0,4
train726,0,3
train727,-1,2
train728,-1,2
train729,-1,2
train730,0,4
train731,1,1
train732,0,3
train733,0,3
train734,-1,2
train735,-1,2
train736,1,1
train737,0,4
train738,0,3
train739,1,1
train740,0,4
train741,1,1
train742,0,4
train743,0,3
train744,0,3
train745,0,3
train746,-1,2
train747,0,4
train748,0,4
train749,1,1
train750,-1,2
train751,-1,2
train752,0,4
train753,1,1
train754,0,3
train755,0,4
train756,-1,2
train757,-1,2
train758,1,1
train759,1,1
train760,1,1
train761,1,1
train762,1,1
train763,0,3
train764,0,4
train765,0,4
train766,0,4
train767,-1,2
train768,0,4
train769,1,1
train770,0,3
train771,-1,2
train772,0,4
train773,0,3
train774,-1,2
train775,0,3
train776,1,1
train777,0,3
train778,1,1
train779,1,1
train780,-1,2
train781,1,1
train782,0,4
train783,0,4
train784,0,4
train785,0,4
train786,0,3
train787,0,3
train788,0,4
train789,0,4
train790,0,4
train791,0,4
train792,1,1
train793,1,1
train794,0,4
train795,0,3
train796,1,1
train797,-1,2
train798,1,1
train799,0,4
train800,0,3
train801,-1,2
train802,0,4
train803,0,4
train804,0,3
train805,0,4
train806,-1,2
train807,-1,2
train808,0,3
train809,0,3
train810,0,4
train811,1,1
train812,1,1
train813,0,4
train814,0,3
train815,-1,2
train816,0,4
train817,0,3
train818,1,1
train819,1,1
train820,1,1
train821,0,4
train822,-1,2
train823,1,1
train824,-1,2
train825,0,3
train826,1,1
train827,-1,2
train828,-1,2
train829,1,1
train830,-1,2
train831,0,4
train832,0,4
train833,1,1
train834,0,3
train835,0,3
train836,0,3
train837,0,3
train838,0,4
train839,-1,2
train840,-1,2
train841,0,3
train842,0,4
train843,0,4
train844,0,4
train845,1,1
train846,0,3
train847,0,4
train848,1,1
train849,-1,2
train850,0,4
train851,1,1
train852,0,3
train853,1,1
train854,0,3
train855,1,1
train856,0,4
train857,-1,2
train858,-1,2
train859,0,4
train860,-1,2
train861,-1,2
train862,0,4
train863,1,1
train864,1,1
train865,0,4
train866,1,1
train867,1,1
train868,0,3
train869,1,1
train870,-1,2
train871,0,3
train872,1,1
train873,-1,2
train874,0,4
train875,0,3
train876,1,1
train877,1,1
train878,0,3
train879,-1,2
train880,1,1
train881,1,1
train882,0,4
train883,0,4
train884,1,1
train885,0,4
train886,0,3
train887,0,3
train888,-1,2
train889,1,1
train890,1,1
train891,-1,2
train892,1,1
train893,1,1
train894,1,1
train895,0,4
train896,-1,2
train897,-1,2
train898,0,4
train899,0,4
train900,0,3
train901,0,4
train902,1,1
train903,1,1
train904,-1,2
train905,0,3
train906,0,4
train907,-1,2
train908,0,4
train909,0,3
train910,0,3
train911,0,4
train912,0,4
train913,0,3
train914,0,3
train915,-1,2
train916,1,1
train917,0,3
train918,-1,2
train919,-1,2
train920,0,4
train921,0,4
train922,0,3
train923,1,1
train924,0,4
train925,0,4
train926,0,3
train927,0,4
train928,0,4
train929,1,1
train930,0,4
train931,1,1
train932,0,4
train933,-1,2
train934,0,3
train935,0,4
train936,0,4
train937,-1,2
train938,0,4
train939,1,1
train940,1,1
train941,0,3
train942,0,4
train943,1,1
train944,-1,2
train945,-1,2
train946,1,1
train947,-1,2
train948,-1,2
train949,1,1
train950,0,3
train951,-1,2
train952,1,1
train953,1,1
train954,-1,2
train955,-1,2
train956,0,3
train957,0,3
train958,1,1
train959,-1,2
train960,0,4
train961,1,1
train962,0,3
train963,0,4
train964,0,4
train965,1,1
train966,-1,2
train967,0,3
train968,-1,2
train969,1,1
train970,0,4
train971,0,4
train972,-1,2
train973,-1,2
train974,0,3
train975,0,4
train976,-1,2
train977,0,4
train978,0,4
train979,0,3
train980,1,1
train981,0,3
train982,1,1
train983,1,1
train984,0,3
train985,0,3
train986,0,3
train987,0,3
train988,1,1
train989,-1,2
train990,-1,2
train991,0,4
train992,-1,2
train993,0,3
train994,0,3
train995,1,1
train996,-1,2
train997,-1,2
train998,0,4
train999,0,3
train1000,-1,2
train1001,0,3
train1002,1,1
train1003,-1,2
train1004,0,4
train1005,0,4
train1006,1,1
train1007,0,3
train1008,1,1
train1009,1,1
train1010,-1,2
train1011,1,1
train1012,0,3
train1013,0,4
train1014,1,1
train1015,0,4
train1016,-1,2
train1017,0,3
train1018,-1,2
train1019,0,3
train1020,0,3
train1021,-1,2
train1022,0,4
train1023,1,1
train1024,0,3
train1025,1,1
train1026,-1,2
train1027,1,1
train1028,0,3
train1029,-1,2
train1030,-1,2
train1031,0,4
train1032,0,3
train1033,0,4
train1034,0,3
train1035,1,1
train1036,0,3
train1037,-1,2
train1038,0,3
train1039,1,1
train1040,1,1
train1041,-1,2
train1042,0,4
train1043,1,1
train1044,0,3
train1045,0,4
train1046,0,3
train1047,0,4
train1048,0,3
train1049,1,1
train1050,0,4
train1051,-1,2
train1052,1,1
train1053,0,4
train1054,-1,2
train1055,0,4
train1056,-1,2
train1057,-1,2
train1058,0,3
train1059,0,3
train1060,0,4
train1061,-1,2
train1062,0,4
train1063,0,4
train1064,0,3
train1065,-1,2
train1066,0,4
train1067,1,1
train1068,0,3
train1069,1,1
train1070,1,1
train1071,-1,2
train1072,1,1
train1073,0,3
train1074,-1,2
train1075,0,3
train1076,1,1
train1077,1,1
train1078,0,3
train1079,0,4
train1080,0,3
train1081,-1,2
train1082,0,3
train1083,-1,2
train1084,1,1
train1085,-1,2
train1086,-1,2
train1087,0,4
train1088,-1,2
train1089,-1,2
train1090,0,4
train1091,0,3
train1092,1,1
train1093,1,1
train1094,0,4
train1095,0,3
train1096,0,3
train1097,-1,2
train1098,1,1
train1099,0,3
train1100,-1,2
train1101,0,4
train1102,0,4
train1103,-1,2
train1104,-1,2
train1105,1,1
train1106,-1,2
train1107,1,1
train1108,1,1
train1109,0,4
train1110,0,4
train1111,0,4
train1112,0,3
train1113,-1,2
train1114,1,1
train1115,0,4
train1116,-1,2
train1117,0,3
train1118,-1,2
train1119,0,4
train1120,0,4
train1121,1,1
train1122,-1,2
train1123,-1,2
train1124,-1,2
train1125,-1,2
train1126,-1,2
train1127,1,1
train1128,0,3
train1129,-1,2
train1130,0,3
train1131,-1,2
train1132,0,4
train1133,1,1
train1134,-1,2
train1135,1,1
train1136,-1,2
train1137,1,1
train1138,-1,2
train1139,0,3
train1140,-1,2
train1141,-1,2
train1142,0,4
train1143,0,4
train1144,1,1
train1145,0,3
train1146,-1,2
train1147,1,1
train1148,0,3
train1149,0,3
train1150,-1,2
train1151,1,1
train1152,0,3
train1153,1,1
train1154,0,3
train1155,0,4
train1156,0,3
train1157,-1,2
train1158,1,1
train1159,1,1
train1160,0,3
train1161,0,4
train1162,1,1
train1163,1,1
train1164,0,3
train1165,0,3
train1166,0,3
train1167,-1,2
train1168,0,3
train1169,-1,2
train1170,-1,2
train1171,0,3
train1172,0,3
train1173,1,1
train1174,-1,2
train1175,0,3
train1176,0,4
train1177,0,3
train1178,-1,2
train1179,0,4
train1180,1,1
train1181,-1,2
train1182,0,4
train1183,1,1
train1184,-1,2
train1185,0,4
train1186,0,3
train1187,0,3
train1188,0,4
train1189,-1,2
train1190,-1,2
train1191,1,1
train1192,0,4
train1193,1,1
train1194,1,1
train1195,0,3
train1196,1,1
train1197,-1,2
train1198,-1,2
train1199,-1,2
train1200,0,3
train1201,1,1
train1202,0,4
train1203,-1,2
train1204,1,1
train1205,0,3
train1206,0,3
train1207,-1,2
train1208,0,4
train1209,1,1
train1210,1,1
train1211,0,4
train1212,0,3
train1213,0,3
train1214,1,1
train1215,1,1
train1216,-1,2
train1217,-1,2
train1218,1,1
train1219,0,4
train1220,1,1
train1221,-1,2
train1222,-1,2
train1223,0,3
train1224,1,1
train1225,-1,2
train1226,0,4
train1227,-1,2
train1228,-1,2
train1229,0,3
train1230,0,4
train1231,0,4
train1232,-1,2
train1233,-1,2
train1234,0,4
train1235,-1,2
train1236,1,1
train1237,-1,2
train1238,-1,2
train1239,0,3
train1240,0,3
train1241,1,1
train1242,-1,2
train1243,1,1
train1244,0,4
train1245,1,1
train1246,0,3
train1247,-1,2
train1248,0,4
train1249,0,3
train1250,-1,2
train1251,-1,2
train1252,-1,2
train1253,-1,2
train1254,1,1
train1255,-1,2
train1256,0,3
train1257,0,4
train1258,1,1
train1259,1,1
train1260,1,1
train1261,0,4
train1262,1,1
train1263,1,1
train1264,0,4
train1265,1,1
train1266,0,4
train1267,-1,2
train1268,1,1
train1269,1,1
train1270,0,4
train1271,-1,2
train1272,0,4
train1273,0,3
train1274,0,4
train1275,0,3
train1276,0,4
train1277,0,3
train1278,-1,2
train1279,1,1
train1280,1,1
train1281,0,3
train1282,-1,2
train1283,1,1
train1284,0,4
train1285,0,4
train1286,0,3
train1287,-1,2
train1288,0,3
train1289,0,4
train1290,1,1
train1291,1,1
train1292,1,1
train1293,1,1
train1294,0,4
train1295,1,1
train1296,0,3
train1297,1,1
train1298,1,1
train1299,0,4
train1300,1,1
train1301,1,1
train1302,0,3
train1303,1,1
train1304,0,3
train1305,0,4
train1306,0,3
train1307,-1,2
train1308,-1,2
train1309,1,1
train1310,0,3
train1311,1,1
train1312,1,1
train1313,-1,2
train1314,-1,2
train1315,-1,2
train1316,0,4
train1317,0,4
train1318,0,3
train1319,0,3
train1320,0,4
train1321,0,4
train1322,0,3
train1323,0,4
train1324,-1,2
train1325,0,3
train1326,1,1
train1327,-1,2
train1328,1,1
train1329,0,4
train1330,1,1
train1331,-1,2
train1332,0,4
train1333,1,1
train1334,1,1
train1335,-1,2
train1336,0,3
train1337,-1,2
train1338,0,4
train1339,1,1
train1340,0,3
train1341,1,1
train1342,0,3
train1343,0,3
train1344,0,4
train1345,0,4
train1346,-1,2
train1347,0,3
train1348,-1,2
train1349,0,3
train1350,0,3
train1351,1,1
train1352,-1,2
train1353,0,4
train1354,1,1
train1355,0,4
train1356,1,1
train1357,-1,2
train1358,-1,2
train1359,0,3
train1360,-1,2
train1361,1,1
train1362,1,1
train1363,1,1
train1364,1,1
train1365,0,3
train1366,-1,2
train1367,-1,2
train1368,0,3
train1369,0,3
train1370,1,1
train1371,0,4
train1372,0,4
train1373,-1,2
train1374,-1,2
train1375,0,3
train1376,-1,2
train1377,0,4
train1378,1,1
train1379,-1,2
train1380,1,1
train1381,0,4
train1382,0,3
train1383,1,1
train1384,1,1
train1385,1,1
train1386,-1,2
train1387,0,3
train1388,0,4
train1389,-1,2
train1390,0,4
train1391,0,4
train1392,0,3
train1393,-1,2
train1394,0,3
train1395,0,3
train1396,1,1
train1397,1,1
train1398,0,3
train1399,-1,2
train1400,0,3
train1401,0,4
train1402,0,4
train1403,-1,2
train1404,0,4
train1405,0,4
train1406,0,3
train1407,-1,2
train1408,1,1
train1409,0,3
train1410,1,1
train1411,0,4
train1412,0,3
train1413,0,4
train1414,1,1
train1415,1,1
train1416,-1,2
train1417,0,3
train1418,0,4
train1419,0,4
train1420,1,1
train1421,0,3
train1422,0,4
train1423,-1,2
train1424,0,4
train1425,1,1
train1426,1,1
train1427,1,1
train1428,0,3
train1429,1,1
train1430,-1,2
train1431,0,3
train1432,1,1
train1433,0,4
train1434,0,3
train1435,0,4
train1436,1,1
train1437,1,1
train1438,1,1
train1439,-1,2
train1440,1,1
train1441,0,3
train1442,0,3
train1443,0,4
train1444,1,1
train1445,1,1
train1446,-1,2
train1447,1,1
train1448,-1,2
train1449,-1,2
train1450,0,4
train1451,0,4
train1452,0,4
train1453,0,3
train1454,0,4
train1455,0,3
train1456,-1,2
train1457,0,4
train1458,0,3
train1459,-1,2
train1460,0,3
train1461,1,1
train1462,1,1
train1463,1,1
train1464,0,3
train1465,0,3
train1466,0,4
train1467,0,3
train1468,1,1
train1469,1,1
train1470,0,3
train1471,-1,2
train1472,0,3
train1473,-1,2
train1474,-1,2
train1475,0,3
train1476,-1,2
train1477,0,4
train1478,1,1
train1479,0,4
train1480,0,3
train1481,1,1
train1482,0,4
train1483,-1,2
train1484,0,4
train1485,-1,2
train1486,-1,2
train1487,-1,2
train1488,-1,2
train1489,1,1
train1490,1,1
train1491,1,1
train1492,-1,2
train1493,0,4
train1494,-1,2
train1495,0,4
train1496,0,3
train1497,1,1
train1498,-1,2
train1499,-1,2
train1500,0,4
train1501,0,3
train1502,1,1
train1503,1,1
train1504,0,4
train1505,-1,2
train1506,0,4
train1507,-1,2
train1508,0,4
train1509,0,4
train1510,0,3
train1511,-1,2
train1512,0,3
train1513,0,3
train1514,-1,2
train1515,1,1
train1516,0,4
train1517,0,4
train1518,1,1
train1519,-1,2
train1520,0,3
train1521,1,1
train1522,1,1
train1523,0,4
train1524,-1,2
train1525,0,4
train1526,0,4
train1527,0,4
train1528,1,1
train1529,0,4
train1530,0,3
train1531,0,3
train1532,0,3
train1533,1,1
train1534,-1,2
train1535,0,3
train1536,0,4
train1537,0,3
train1538,0,4
train1539,0,4
train1540,0,3
train1541,-1,2
train1542,1,1
train1543,1,1
train1544,-1,2
train1545,1,1
train1546,1,1
train1547,1,1
train1548,1,1
train1549,0,4
train1550,-1,2
train1551,0,3
train1552,0,3
train1553,0,4
train1554,1,1
train1555,-1,2
train1556,-1,2
train1557,1,1
train1558,1,1
train1559,-1,2
train1560,1,1
train1561,0,4
train1562,0,3
train1563,0,3
train1564,1,1
train1565,-1,2
train1566,0,4
train1567,0,3
train1568,1,1
train1569,0,4
train1570,0,4
train1571,-1,2
train1572,1,1
train1573,1,1
train1574,-1,2
train1575,0,3
train1576,0,3
train1577,1,1
train1578,1,1
train1579,-1,2
train1580,1,1
train1581,0,3
train1582,1,1
train1583,0,3
train1584,0,3
train1585,-1,2
train1586,0,4
train1587,0,3
train1588,1,1
train1589,0,3
train1590,1,1
train1591,1,1
train1592,-1,2
train1593,0,4
train1594,1,1
train1595,-1,2
train1596,1,1
train1597,1,1
train1598,-1,2
train1599,0,4
train1600,1,1
train1601,0,3
train1602,0,4
train1603,0,4
train1604,1,1
train1605,0,3
train1606,1,1
train1607,-1,2
train1608,0,4
train1609,0,3
train1610,0,4
train1611,1,1
train1612,1,1
train1613,0,4
train1614,0,4
train1615,-1,2
train1616,0,3
train1617,0,3
train1618,0,3
train1619,0,3
train1620,0,3
train1621,-1,2
train1622,1,1
train1623,0,4
train1624,0,3
train1625,0,3
train1626,0,4
train1627,0,4
train1628,-1,2
train1629,1,1
train1630,0,4
train1631,1,1
train1632,1,1
train1633,0,3
train1634,0,4
train1635,0,4
train1636,0,4
train1637,0,3
train1638,1,1
train1639,1,1
train1640,-1,2
train1641,0,4
train1642,0,3
train1643,-1,2
train1644,0,4
train1645,1,1
train1646,-1,2
train1647,1,1
train1648,1,1
train1649,0,4
train1650,1,1
train1651,0,4
train1652,0,3
train1653,0,4
train1654,0,4
train1655,-1,2
train1656,0,4
train1657,1,1
train1658,0,3
train1659,1,1
train1660,0,4
train1661,-1,2
train1662,-1,2
train1663,-1,2
train1664,0,3
train1665,0,4
train1666,-1,2
train1667,0,4
train1668,0,3
train1669,0,3
train1670,0,3
train1671,0,4
train1672,-1,2
train1673,-1,2
train1674,1,1
train1675,-1,2
train1676,1,1
train1677,0,3
train1678,0,4
train1679,-1,2
train1680,1,1
train1681,0,3
train1682,1,1
train1683,-1,2
train1684,1,1
train1685,0,3
train1686,0,4
train1687,0,3
train1688,0,3
train1689,1,1
train1690,-1,2
train1691,0,3
train1692,-1,2
train1693,-1,2
train1694,0,4
train1695,0,3
train1696,1,1
train1697,0,3
train1698,0,3
train1699,0,4
train1700,0,3
train1701,1,1
train1702,0,3
train1703,0,3
train1704,-1,2
train1705,0,3
train1706,-1,2
train1707,1,1
train1708,-1,2
train1709,0,3
train1710,0,4
train1711,-1,2
train1712,-1,2
train1713,0,4
train1714,-1,2
train1715,-1,2
train1716,1,1
train1717,-1,2
train1718,0,4
train1719,0,4
train1720,0,4
train1721,0,3
train1722,1,1
train1723,-1,2
train1724,1,1
train1725,0,3
train1726,0,3
train1727,0,4
train1728,0,4
train1729,0,4
train1730,0,4
train1731,0,3
train1732,-1,2
train1733,1,1
train1734,0,3
train1735,0,3
train1736,1,1
train1737,0,3
train1738,-1,2
train1739,0,4
train1740,-1,2
train1741,1,1
train1742,-1,2
train1743,0,4
train1744,-1,2
train1745,1,1
train1746,1,1
train1747,-1,2
train1748,0,4
train1749,1,1
train1750,0,4
train1751,1,1
train1752,1,1
train1753,0,4
train1754,0,3
train1755,0,4
train1756,1,1
train1757,0,4
train1758,0,3
train1759,0,4
train1760,-1,2
train1761,0,4
train1762,0,4
train1763,0,4
train1764,0,3
train1765,1,1
train1766,0,3
train1767,-1,2
train1768,0,4
train1769,-1,2
train1770,1,1
train1771,-1,2
train1772,-1,2
train1773,-1,2
train1774,0,4
train1775,-1,2
train1776,-1,2
train1777,0,3
train1778,1,1
train1779,0,4
train1780,1,1
train1781,0,3
train1782,1,1
train1783,1,1
train1784,1,1
train1785,1,1
train1786,1,1
train1787,0,4
train1788,-1,2
train1789,0,3
train1790,0,3
train1791,1,1
train1792,0,3
train1793,0,4
train1794,0,3
train1795,1,1
train1796,0,4
train1797,0,4
train1798,1,1
train1799,0,4
train1800,1,1
train1801,-1,2
train1802,1,1
